<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG_PE,D,20071220,000000,6.67011,6.67011,6.67011,6.67011,0,0
UCG_PE,D,20071221,000000,6.90951,6.90951,6.67011,6.85282,0,0
UCG_PE,D,20071227,000000,6.85282,6.85282,6.79005,6.79005,0,0
UCG_PE,D,20071228,000000,6.79005,6.85282,6.73336,6.79005,0,0
UCG_PE,D,20080102,000000,6.85282,6.85282,6.67011,6.73336,0,0
UCG_PE,D,20080103,000000,6.67011,6.73336,6.61332,6.67011,0,0
UCG_PE,D,20080104,000000,6.73336,7.32582,6.55654,7.32582,0,0
UCG_PE,D,20080107,000000,7.21234,7.32582,7.21234,7.26903,0,0
UCG_PE,D,20080108,000000,7.26903,7.26903,7.0926,7.14929,0,0
UCG_PE,D,20080109,000000,7.0926,7.32582,6.90951,7.26903,0,0
UCG_PE,D,20080110,000000,7.38888,7.50843,7.14929,7.14929,0,0
UCG_PE,D,20080111,000000,7.38888,7.56531,7.38888,7.56531,0,0
UCG_PE,D,20080114,000000,7.62865,7.62865,7.62865,7.62865,0,0
UCG_PE,D,20080115,000000,7.74888,7.74888,7.38888,7.38888,0,0
UCG_PE,D,20080116,000000,6.90951,7.50843,6.90951,7.50843,0,0
UCG_PE,D,20080117,000000,7.44566,7.50843,7.38888,7.44566,0,0
UCG_PE,D,20080118,000000,7.38888,7.38888,7.26903,7.26903,0,0
UCG_PE,D,20080121,000000,7.26903,7.26903,6.67011,6.85282,0,0
UCG_PE,D,20080122,000000,6.55654,6.73336,6.37374,6.61332,0,0
UCG_PE,D,20080123,000000,6.61332,6.61332,6.25408,6.49367,0,0
UCG_PE,D,20080124,000000,6.73336,6.97275,6.73336,6.97275,0,0
UCG_PE,D,20080125,000000,6.73336,6.90951,6.73336,6.79005,0,0
UCG_PE,D,20080128,000000,6.79005,6.79005,6.55654,6.67011,0,0
UCG_PE,D,20080129,000000,6.79005,6.85282,6.55654,6.55654,0,0
UCG_PE,D,20080130,000000,6.55654,6.61332,6.55654,6.61332,0,0
UCG_PE,D,20080131,000000,6.61332,6.61332,6.43688,6.49367,0,0
UCG_PE,D,20080201,000000,6.55654,6.67011,6.55654,6.67011,0,0
UCG_PE,D,20080204,000000,6.79005,6.85282,6.79005,6.85282,0,0
UCG_PE,D,20080205,000000,6.85282,6.85282,6.61332,6.61332,0,0
UCG_PE,D,20080206,000000,6.49367,6.61332,6.37374,6.61332,0,0
UCG_PE,D,20080207,000000,6.67011,6.67011,6.37374,6.37374,0,0
UCG_PE,D,20080208,000000,6.37374,6.37374,6.13424,6.19739,0,0
UCG_PE,D,20080211,000000,6.02067,6.19739,6.02067,6.02067,0,0
UCG_PE,D,20080212,000000,6.19739,6.31704,6.19739,6.31704,0,0
UCG_PE,D,20080213,000000,6.43688,6.67011,6.43688,6.67011,0,0
UCG_PE,D,20080214,000000,6.67011,6.79005,6.55654,6.61332,0,0
UCG_PE,D,20080215,000000,6.61332,6.61332,6.43688,6.43688,0,0
UCG_PE,D,20080218,000000,6.49367,6.49367,6.43688,6.49367,0,0
UCG_PE,D,20080219,000000,6.43688,6.67011,6.43688,6.61332,0,0
UCG_PE,D,20080220,000000,6.55654,6.61332,6.55654,6.55654,0,0
UCG_PE,D,20080221,000000,6.61332,6.61332,6.55654,6.55654,0,0
UCG_PE,D,20080222,000000,6.55654,6.55654,6.49367,6.49367,0,0
UCG_PE,D,20080225,000000,6.55654,6.55654,6.19739,6.19739,0,0
UCG_PE,D,20080226,000000,6.31704,6.37374,6.31704,6.37374,0,0
UCG_PE,D,20080227,000000,6.19739,6.43688,6.19739,6.37374,0,0
UCG_PE,D,20080228,000000,6.43688,6.43688,6.43688,6.43688,0,0
UCG_PE,D,20080303,000000,6.31704,6.31704,6.02067,6.02067,0,0
UCG_PE,D,20080304,000000,6.02067,6.02067,5.83796,5.83796,0,0
UCG_PE,D,20080306,000000,5.95771,6.02067,5.95771,5.95771,0,0
UCG_PE,D,20080307,000000,5.95771,5.95771,5.83796,5.83796,0,0
UCG_PE,D,20080310,000000,5.71812,5.83796,5.71812,5.83796,0,0
UCG_PE,D,20080311,000000,5.78117,6.02067,5.78117,6.02067,0,0
UCG_PE,D,20080312,000000,6.07745,6.13424,6.02067,6.02067,0,0
UCG_PE,D,20080313,000000,5.95771,6.02067,5.54159,5.71812,0,0
UCG_PE,D,20080314,000000,5.66133,5.71812,5.54159,5.59837,0,0
UCG_PE,D,20080317,000000,5.54159,5.54159,5.30209,5.47863,0,0
UCG_PE,D,20080319,000000,5.78117,5.78117,5.78117,5.78117,0,0
UCG_PE,D,20080320,000000,5.71812,5.71812,5.42174,5.42174,0,0
UCG_PE,D,20080325,000000,5.66133,5.66133,5.59837,5.59837,0,0
UCG_PE,D,20080326,000000,5.71812,5.71812,5.42174,5.42174,0,0
UCG_PE,D,20080327,000000,5.54159,5.59837,5.42174,5.59837,0,0
UCG_PE,D,20080331,000000,5.54159,5.54159,5.54159,5.54159,0,0
UCG_PE,D,20080401,000000,5.71812,5.90092,5.71812,5.83796,0,0
UCG_PE,D,20080402,000000,5.95771,6.13424,5.95771,6.13424,0,0
UCG_PE,D,20080403,000000,6.07745,6.07745,6.07745,6.07745,0,0
UCG_PE,D,20080404,000000,6.13424,6.19739,6.13424,6.13424,0,0
UCG_PE,D,20080407,000000,6.19739,6.49367,6.13424,6.49367,0,0
UCG_PE,D,20080408,000000,6.49367,6.49367,6.31704,6.31704,0,0
UCG_PE,D,20080409,000000,6.25408,6.25408,6.19739,6.25408,0,0
UCG_PE,D,20080410,000000,6.19739,6.25408,6.19739,6.19739,0,0
UCG_PE,D,20080411,000000,6.25408,6.25408,6.07745,6.07745,0,0
UCG_PE,D,20080414,000000,6.07745,6.19739,5.90092,5.90092,0,0
UCG_PE,D,20080415,000000,5.90092,5.90092,5.78117,5.78117,0,0
UCG_PE,D,20080416,000000,5.78117,5.83796,5.78117,5.83796,0,0
UCG_PE,D,20080417,000000,5.83796,5.90092,5.83796,5.90092,0,0
UCG_PE,D,20080418,000000,5.95771,6.07745,5.95771,6.07745,0,0
UCG_PE,D,20080421,000000,6.07745,6.19739,6.07745,6.13424,0,0
UCG_PE,D,20080422,000000,6.13424,6.13424,5.95771,6.07745,0,0
UCG_PE,D,20080423,000000,5.90092,5.90092,5.90092,5.90092,0,0
UCG_PE,D,20080424,000000,6.02067,6.02067,5.95771,5.95771,0,0
UCG_PE,D,20080425,000000,5.95771,6.31704,5.95771,6.31704,0,0
UCG_PE,D,20080428,000000,6.13424,6.37374,6.13424,6.37374,0,0
UCG_PE,D,20080429,000000,6.25408,6.25408,6.25408,6.25408,0,0
UCG_PE,D,20080430,000000,6.25408,6.25408,6.25408,6.25408,0,0
UCG_PE,D,20080505,000000,6.37374,6.43688,6.37374,6.37374,0,0
UCG_PE,D,20080506,000000,6.31704,6.37374,6.31704,6.37374,0,0
UCG_PE,D,20080507,000000,6.49367,6.49367,6.25408,6.25408,0,0
UCG_PE,D,20080508,000000,6.25408,6.25408,6.13424,6.19739,0,0
UCG_PE,D,20080509,000000,6.13424,6.13424,5.90092,5.95771,0,0
UCG_PE,D,20080512,000000,6.37374,6.37374,5.95771,5.95771,0,0
UCG_PE,D,20080513,000000,5.95771,5.95771,5.95771,5.95771,0,0
UCG_PE,D,20080514,000000,6.02067,6.02067,6.02067,6.02067,0,0
UCG_PE,D,20080515,000000,5.95771,6.07745,5.95771,6.02067,0,0
UCG_PE,D,20080516,000000,5.95771,5.95771,5.95771,5.95771,0,0
UCG_PE,D,20080519,000000,6.24136,7.25023,5.92637,7.25023,0,0
UCG_PE,D,20080520,000000,7.18708,7.18708,7.12422,7.18708,0,0
UCG_PE,D,20080521,000000,7.18708,7.18708,7.06107,7.06107,0,0
UCG_PE,D,20080523,000000,7.12422,7.25023,7.06107,7.12422,0,0
UCG_PE,D,20080526,000000,7.18708,7.18708,6.49367,6.99792,0,0
UCG_PE,D,20080527,000000,7.12422,7.12422,6.8719,7.12422,0,0
UCG_PE,D,20080528,000000,7.12422,7.12422,7.12422,7.12422,0,0
UCG_PE,D,20080529,000000,7.18708,7.18708,6.99792,6.99792,0,0
UCG_PE,D,20080530,000000,6.99792,6.99792,6.99792,6.99792,0,0
UCG_PE,D,20080603,000000,7.18708,7.18708,6.99792,7.06107,0,0
UCG_PE,D,20080604,000000,6.99792,6.99792,6.93496,6.93496,0,0
UCG_PE,D,20080605,000000,6.99792,6.99792,6.93496,6.93496,0,0
UCG_PE,D,20080606,000000,6.93496,6.93496,6.80894,6.8719,0,0
UCG_PE,D,20080609,000000,6.61959,6.8719,6.61959,6.68274,0,0
UCG_PE,D,20080610,000000,6.49367,6.68274,6.49367,6.55654,0,0
UCG_PE,D,20080611,000000,6.55654,6.55654,6.49367,6.49367,0,0
UCG_PE,D,20080612,000000,6.43062,6.61959,6.43062,6.43062,0,0
UCG_PE,D,20080613,000000,6.43062,6.61959,6.43062,6.61959,0,0
UCG_PE,D,20080616,000000,6.61959,6.68274,6.43062,6.43062,0,0
UCG_PE,D,20080617,000000,6.55654,6.55654,6.43062,6.55654,0,0
UCG_PE,D,20080618,000000,6.55654,6.68274,6.55654,6.55654,0,0
UCG_PE,D,20080619,000000,6.43062,6.49367,6.43062,6.49367,0,0
UCG_PE,D,20080620,000000,6.55654,6.55654,6.43062,6.43062,0,0
UCG_PE,D,20080623,000000,6.43062,6.49367,6.43062,6.49367,0,0
UCG_PE,D,20080624,000000,6.74589,6.74589,6.43062,6.43062,0,0
UCG_PE,D,20080625,000000,6.49367,6.55654,6.49367,6.55654,0,0
UCG_PE,D,20080626,000000,6.43062,6.43062,6.36756,6.36756,0,0
UCG_PE,D,20080627,000000,6.24136,6.24136,6.17849,6.24136,0,0
UCG_PE,D,20080630,000000,6.05229,6.11544,6.05229,6.11544,0,0
UCG_PE,D,20080701,000000,6.11544,6.11544,5.92637,5.92637,0,0
UCG_PE,D,20080702,000000,6.05229,6.05229,5.98914,6.05229,0,0
UCG_PE,D,20080703,000000,5.98914,5.98914,5.98914,5.98914,0,0
UCG_PE,D,20080704,000000,5.92637,5.92637,5.92637,5.92637,0,0
UCG_PE,D,20080707,000000,5.92637,5.92637,5.73702,5.73702,0,0
UCG_PE,D,20080708,000000,5.48489,5.54804,5.48489,5.54804,0,0
UCG_PE,D,20080709,000000,5.67406,5.73702,5.67406,5.73702,0,0
UCG_PE,D,20080710,000000,5.80017,5.80017,5.73702,5.80017,0,0
UCG_PE,D,20080711,000000,5.80017,5.80017,5.6111,5.67406,0,0
UCG_PE,D,20080714,000000,5.80017,5.80017,5.6111,5.6111,0,0
UCG_PE,D,20080715,000000,5.54804,5.54804,5.35878,5.35878,0,0
UCG_PE,D,20080716,000000,5.29582,5.35878,5.29582,5.35878,0,0
UCG_PE,D,20080717,000000,5.48489,5.73702,5.48489,5.73702,0,0
UCG_PE,D,20080718,000000,5.73702,5.73702,5.67406,5.67406,0,0
UCG_PE,D,20080721,000000,5.80017,5.86322,5.80017,5.86322,0,0
UCG_PE,D,20080722,000000,5.80017,5.86322,5.80017,5.86322,0,0
UCG_PE,D,20080723,000000,5.98914,6.17849,5.86322,6.11544,0,0
UCG_PE,D,20080724,000000,6.49367,6.49367,6.17849,6.24136,0,0
UCG_PE,D,20080725,000000,6.24136,6.24136,6.05229,6.05229,0,0
UCG_PE,D,20080728,000000,6.05229,6.05229,5.98914,5.98914,0,0
UCG_PE,D,20080729,000000,5.80017,5.80017,5.67406,5.73702,0,0
UCG_PE,D,20080730,000000,5.98914,5.98914,5.86322,5.92637,0,0
UCG_PE,D,20080731,000000,5.80017,5.92637,5.80017,5.92637,0,0
UCG_PE,D,20080801,000000,5.86322,5.86322,5.86322,5.86322,0,0
UCG_PE,D,20080804,000000,6.17849,6.17849,5.67406,5.67406,0,0
UCG_PE,D,20080805,000000,5.48489,5.86322,5.48489,5.86322,0,0
UCG_PE,D,20080806,000000,6.05229,6.11544,6.05229,6.05229,0,0
UCG_PE,D,20080807,000000,6.11544,6.17849,6.05229,6.11544,0,0
UCG_PE,D,20080808,000000,6.11544,6.11544,6.05229,6.05229,0,0
UCG_PE,D,20080811,000000,6.17849,6.24136,6.11544,6.17849,0,0
UCG_PE,D,20080812,000000,6.17849,6.17849,6.17849,6.17849,0,0
UCG_PE,D,20080813,000000,6.05229,6.05229,5.92637,5.92637,0,0
UCG_PE,D,20080814,000000,6.05229,6.05229,5.92637,5.92637,0,0
UCG_PE,D,20080818,000000,5.92637,6.05229,5.86322,5.86322,0,0
UCG_PE,D,20080819,000000,5.67406,5.67406,5.67406,5.67406,0,0
UCG_PE,D,20080820,000000,5.6111,5.6111,5.48489,5.48489,0,0
UCG_PE,D,20080821,000000,5.54804,5.54804,5.48489,5.48489,0,0
UCG_PE,D,20080822,000000,5.35878,5.6111,5.35878,5.6111,0,0
UCG_PE,D,20080825,000000,5.54804,5.54804,5.48489,5.48489,0,0
UCG_PE,D,20080826,000000,5.42174,5.48489,5.42174,5.48489,0,0
UCG_PE,D,20080827,000000,5.48489,5.48489,5.48489,5.48489,0,0
UCG_PE,D,20080828,000000,5.67406,5.73702,5.67406,5.73702,0,0
UCG_PE,D,20080829,000000,5.92637,5.92637,5.73702,5.73702,0,0
UCG_PE,D,20080901,000000,5.80017,5.80017,5.67406,5.73702,0,0
UCG_PE,D,20080902,000000,5.73702,5.92637,5.73702,5.92637,0,0
UCG_PE,D,20080904,000000,5.92637,5.98914,5.92637,5.98914,0,0
UCG_PE,D,20080905,000000,5.92637,5.92637,5.73702,5.86322,0,0
UCG_PE,D,20080908,000000,5.92637,6.30441,5.92637,6.24136,0,0
UCG_PE,D,20080909,000000,6.24136,6.24136,6.24136,6.24136,0,0
UCG_PE,D,20080910,000000,6.17849,6.17849,6.11544,6.11544,0,0
UCG_PE,D,20080911,000000,5.92637,5.92637,5.80017,5.80017,0,0
UCG_PE,D,20080912,000000,5.86322,5.86322,5.80017,5.80017,0,0
UCG_PE,D,20080915,000000,5.54804,5.54804,5.42174,5.48489,0,0
UCG_PE,D,20080916,000000,5.6111,5.67406,5.48489,5.48489,0,0
UCG_PE,D,20080917,000000,5.54804,5.54804,5.16972,5.29582,0,0
UCG_PE,D,20080918,000000,5.29582,5.29582,4.85454,5.04351,0,0
UCG_PE,D,20080919,000000,5.04351,5.54804,5.04351,5.42174,0,0
UCG_PE,D,20080922,000000,5.6111,5.73702,5.6111,5.6111,0,0
UCG_PE,D,20080923,000000,5.29582,5.42174,5.16972,5.29582,0,0
UCG_PE,D,20080924,000000,5.23287,5.29582,5.10657,5.10657,0,0
UCG_PE,D,20080925,000000,5.10657,5.16972,5.10657,5.16972,0,0
UCG_PE,D,20080926,000000,5.23287,5.23287,5.10657,5.23287,0,0
UCG_PE,D,20080929,000000,5.23287,5.23287,4.72833,4.72833,0,0
UCG_PE,D,20080930,000000,4.72833,4.72833,4.3502,4.53917,0,0
UCG_PE,D,20081001,000000,4.53917,4.53917,4.22399,4.53917,0,0
UCG_PE,D,20081002,000000,4.72833,4.85454,4.53917,4.66537,0,0
UCG_PE,D,20081003,000000,4.72833,4.72833,4.53917,4.60232,0,0
UCG_PE,D,20081006,000000,4.60232,4.72833,4.28705,4.66537,0,0
UCG_PE,D,20081007,000000,4.66537,4.66537,4.3502,4.66537,0,0
UCG_PE,D,20081008,000000,4.22399,4.66537,4.09788,4.3502,0,0
UCG_PE,D,20081009,000000,4.22399,4.22399,4.09788,4.16094,0,0
UCG_PE,D,20081010,000000,3.90872,3.97187,3.7827,3.97187,0,0
UCG_PE,D,20081013,000000,3.97187,3.97187,3.97187,3.97187,0,0
UCG_PE,D,20081014,000000,4.41306,4.53917,4.3502,4.41306,0,0
UCG_PE,D,20081015,000000,4.41306,4.41306,4.28705,4.28705,0,0
UCG_PE,D,20081016,000000,3.97187,4.3502,3.97187,4.03483,0,0
UCG_PE,D,20081017,000000,4.03483,4.03483,3.7827,3.7827,0,0
UCG_PE,D,20081020,000000,3.97187,3.97187,3.84576,3.84576,0,0
UCG_PE,D,20081021,000000,3.90872,3.90872,3.71956,3.90872,0,0
UCG_PE,D,20081022,000000,3.7827,3.7827,3.71956,3.71956,0,0
UCG_PE,D,20081023,000000,3.65669,3.71956,3.34142,3.34142,0,0
UCG_PE,D,20081024,000000,3.34142,3.34142,3.27846,3.34142,0,0
UCG_PE,D,20081027,000000,2.96309,3.0891,2.96309,3.02624,0,0
UCG_PE,D,20081028,000000,2.83698,2.83698,2.77393,2.77393,0,0
UCG_PE,D,20081029,000000,3.02624,3.02624,2.77393,2.77393,0,0
UCG_PE,D,20081030,000000,2.96309,3.0891,2.83698,3.0891,0,0
UCG_PE,D,20081031,000000,3.0891,3.15225,3.02624,3.02624,0,0
UCG_PE,D,20081103,000000,3.02624,3.21531,3.02624,3.0891,0,0
UCG_PE,D,20081104,000000,3.0891,3.34142,3.0891,3.34142,0,0
UCG_PE,D,20081105,000000,3.34142,3.71956,3.34142,3.65669,0,0
UCG_PE,D,20081106,000000,3.21531,3.65669,3.21531,3.46753,0,0
UCG_PE,D,20081107,000000,3.46753,3.46753,3.27846,3.40428,0,0
UCG_PE,D,20081110,000000,3.65669,3.65669,3.65669,3.65669,0,0
UCG_PE,D,20081112,000000,3.59354,3.59354,3.27846,3.34142,0,0
UCG_PE,D,20081113,000000,2.90004,3.46753,2.90004,3.40428,0,0
UCG_PE,D,20081114,000000,3.46753,3.46753,3.46753,3.46753,0,0
UCG_PE,D,20081117,000000,3.27846,3.27846,3.27846,3.27846,0,0
UCG_PE,D,20081118,000000,3.0891,3.15225,3.0891,3.15225,0,0
UCG_PE,D,20081120,000000,3.7827,3.7827,3.7827,3.7827,0,0
UCG_PE,D,20081121,000000,3.7827,3.97187,3.7827,3.90872,0,0
UCG_PE,D,20081124,000000,3.84576,3.90872,3.84576,3.90872,0,0
UCG_PE,D,20081125,000000,4.09788,4.22399,3.97187,4.22399,0,0
UCG_PE,D,20081126,000000,3.97187,4.03483,3.84576,3.90872,0,0
UCG_PE,D,20081127,000000,3.84576,4.09788,3.84576,3.90872,0,0
UCG_PE,D,20081128,000000,3.90872,3.97187,3.90872,3.90872,0,0
UCG_PE,D,20081201,000000,4.03483,4.03483,3.90872,3.97187,0,0
