<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG_PE,D,20180615,000000,50.5011,50.5011,50.5011,50.5011,0,0
ULG_PE,D,20180618,000000,40.1731,49.8502,40.1731,49.8502,0,0
ULG_PE,D,20180619,000000,49.8502,49.8502,44.1577,45.9478,0,0
ULG_PE,D,20180620,000000,44.4024,44.4024,37.8957,37.9778,0,0
ULG_PE,D,20180621,000000,39.4411,50.4198,39.4411,49.0369,0,0
ULG_PE,D,20180622,000000,51.3957,56.4373,49.2003,50.5011,0,0
ULG_PE,D,20180625,000000,51.9643,51.9643,47.3299,47.3299,0,0
ULG_PE,D,20180626,000000,48.5503,49.2003,46.1094,48.9565,0,0
ULG_PE,D,20180627,000000,47.9807,48.9565,46.5165,48.1432,0,0
ULG_PE,D,20180628,000000,48.062,48.062,43.5078,46.0291,0,0
ULG_PE,D,20180629,000000,46.0291,46.0291,42.2882,43.5078,0,0
ULG_PE,D,20180702,000000,43.5078,44.7273,43.5078,44.1577,0,0
ULG_PE,D,20180703,000000,44.1577,45.1345,44.1577,45.1345,0,0
ULG_PE,D,20180704,000000,45.0533,47.3299,45.0533,46.4353,0,0
ULG_PE,D,20180705,000000,47.3299,49.3628,47.3299,48.6307,0,0
ULG_PE,D,20180706,000000,49.5252,49.5252,46.7602,48.2245,0,0
ULG_PE,D,20180709,000000,47.7369,47.7369,45.9478,46.5978,0,0
ULG_PE,D,20180710,000000,47.0862,48.9565,46.1094,47.6557,0,0
ULG_PE,D,20180711,000000,48.4682,53.6723,48.3057,50.4198,0,0
ULG_PE,D,20180712,000000,51.0707,51.3957,49.3628,50.4198,0,0
ULG_PE,D,20180713,000000,50.4198,50.5011,48.8752,50.5011,0,0
ULG_PE,D,20180716,000000,52.1268,52.1268,49.769,49.8502,0,0
ULG_PE,D,20180717,000000,50.2574,51.151,49.2815,50.9885,0,0
ULG_PE,D,20180718,000000,50.5011,51.0707,48.7119,50.9073,0,0
ULG_PE,D,20180719,000000,50.9885,51.2322,49.5252,51.151,0,0
ULG_PE,D,20180720,000000,51.0707,51.151,49.8502,50.1761,0,0
ULG_PE,D,20180723,000000,51.151,51.151,49.2815,50.826,0,0
ULG_PE,D,20180724,000000,49.9314,50.1761,48.6307,50.1761,0,0
ULG_PE,D,20180725,000000,48.6307,50.4198,48.6307,50.3386,0,0
ULG_PE,D,20180726,000000,49.2003,50.6636,49.1191,50.6636,0,0
ULG_PE,D,20180727,000000,50.5011,52.2903,50.0949,52.209,0,0
ULG_PE,D,20180730,000000,55.7052,63.1065,41.3937,41.3937,0,0
ULG_PE,D,20180731,000000,42.207,44.3211,40.3357,41.7998,0,0
ULG_PE,D,20180801,000000,42.1248,42.1248,39.1974,39.5224,0,0
ULG_PE,D,20180802,000000,38.8724,39.4411,37.4895,39.2786,0,0
