<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_MV,D,20120926,000000,6.0345,6.0345,6.0345,6.0345,0,0
UNT_MV,D,20120927,000000,6.0345,6.0345,5.73302,5.73302,0,0
UNT_MV,D,20121008,000000,5.73302,5.73302,5.73302,5.73302,0,0
UNT_MV,D,20121009,000000,5.89624,5.89624,5.89624,5.89624,0,0
UNT_MV,D,20121010,000000,5.73302,5.73302,5.49439,5.49439,0,0
UNT_MV,D,20121011,000000,5.53192,5.53192,5.34985,5.34985,0,0
UNT_MV,D,20121012,000000,5.61362,6.71862,5.61362,6.59912,0,0
UNT_MV,D,20121015,000000,6.59912,6.59912,5.36888,5.39392,0,0
UNT_MV,D,20121016,000000,5.39392,5.39392,4.62775,4.62775,0,0
UNT_MV,D,20121017,000000,4.62775,4.82877,4.62775,4.6844,0,0
UNT_MV,D,20121018,000000,4.62775,4.70945,4.62775,4.70945,0,0
UNT_MV,D,20121019,000000,4.7283,4.82877,4.62775,4.62775,0,0
UNT_MV,D,20121022,000000,4.62775,4.82877,4.62775,4.82877,0,0
UNT_MV,D,20121023,000000,4.92914,5.99661,4.92914,5.99661,0,0
UNT_MV,D,20121024,000000,5.99661,5.99661,5.36888,5.73302,0,0
UNT_MV,D,20121025,000000,5.83348,5.83348,5.83348,5.83348,0,0
UNT_MV,D,20121029,000000,5.73302,5.73302,5.53192,5.63256,0,0
UNT_MV,D,20121030,000000,5.85225,5.99661,5.85225,5.99661,0,0
UNT_MV,D,20121031,000000,6.0345,6.23525,6.0345,6.23525,0,0
UNT_MV,D,20121105,000000,6.21639,6.21639,6.21639,6.21639,0,0
UNT_MV,D,20121106,000000,6.21639,6.21639,6.21639,6.21639,0,0
UNT_MV,D,20121107,000000,6.21639,6.21639,5.83348,5.83348,0,0
UNT_MV,D,20121108,000000,5.93386,5.93386,5.02969,5.53192,0,0
UNT_MV,D,20121109,000000,5.53192,5.53192,5.53192,5.53192,0,0
UNT_MV,D,20121112,000000,5.61362,6.21639,5.61362,6.21639,0,0
UNT_MV,D,20121113,000000,6.21639,6.21639,5.53192,5.53192,0,0
UNT_MV,D,20121114,000000,5.63256,6.21639,5.63256,6.21639,0,0
UNT_MV,D,20121115,000000,6.21639,6.25428,6.21639,6.25428,0,0
UNT_MV,D,20121116,000000,6.27915,6.27915,5.53192,5.63256,0,0
UNT_MV,D,20121119,000000,5.53192,5.53192,5.43145,5.43145,0,0
UNT_MV,D,20121120,000000,5.33108,6.27915,5.14892,6.27915,0,0
UNT_MV,D,20121122,000000,6.23525,6.27915,6.23525,6.27915,0,0
UNT_MV,D,20121123,000000,6.27915,6.27915,5.83348,5.83348,0,0
UNT_MV,D,20121130,000000,5.73302,5.73302,5.53192,5.53192,0,0
UNT_MV,D,20121203,000000,5.55086,5.55086,5.55086,5.55086,0,0
UNT_MV,D,20121206,000000,5.55086,5.55086,5.46916,5.46916,0,0
UNT_MV,D,20121207,000000,5.53192,5.53192,5.53192,5.53192,0,0
UNT_MV,D,20121210,000000,5.53192,5.53192,5.46916,5.46916,0,0
UNT_MV,D,20121214,000000,5.53192,5.53192,5.53192,5.53192,0,0
