<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_PB,D,20120926,000000,0.4585,0.4585,0.4585,0.4585,0,0
UNT_PB,D,20120927,000000,0.4585,0.4585,0.433203,0.433203,0,0
UNT_PB,D,20121008,000000,0.433203,0.433203,0.433203,0.433203,0,0
UNT_PB,D,20121009,000000,0.445931,0.445931,0.445931,0.445931,0,0
UNT_PB,D,20121010,000000,0.433203,0.433203,0.414376,0.414376,0,0
UNT_PB,D,20121011,000000,0.420714,0.420714,0.408145,0.408145,0,0
UNT_PB,D,20121012,000000,0.427078,0.508599,0.427078,0.502314,0,0
UNT_PB,D,20121015,000000,0.502314,0.502314,0.408145,0.408145,0,0
UNT_PB,D,20121016,000000,0.408145,0.408145,0.351576,0.351576,0,0
UNT_PB,D,20121017,000000,0.351576,0.364242,0.351576,0.357896,0,0
UNT_PB,D,20121018,000000,0.351576,0.357896,0.351576,0.357896,0,0
UNT_PB,D,20121019,000000,0.357896,0.364242,0.351576,0.351576,0,0
UNT_PB,D,20121022,000000,0.351576,0.364242,0.351576,0.364242,0,0
UNT_PB,D,20121023,000000,0.376793,0.452127,0.376793,0.452127,0,0
UNT_PB,D,20121024,000000,0.452127,0.452127,0.408145,0.433203,0,0
UNT_PB,D,20121025,000000,0.439505,0.439505,0.439505,0.439505,0,0
UNT_PB,D,20121029,000000,0.433203,0.433203,0.420714,0.427078,0,0
UNT_PB,D,20121030,000000,0.445931,0.452127,0.445931,0.452127,0,0
UNT_PB,D,20121031,000000,0.4585,0.470892,0.4585,0.470892,0,0
UNT_PB,D,20121105,000000,0.470892,0.470892,0.470892,0.470892,0,0
UNT_PB,D,20121106,000000,0.470892,0.470892,0.470892,0.470892,0,0
UNT_PB,D,20121107,000000,0.470892,0.470892,0.439505,0.439505,0,0
UNT_PB,D,20121108,000000,0.452127,0.452127,0.383007,0.420714,0,0
UNT_PB,D,20121109,000000,0.420714,0.420714,0.420714,0.420714,0,0
UNT_PB,D,20121112,000000,0.427078,0.470892,0.427078,0.470892,0,0
UNT_PB,D,20121113,000000,0.470892,0.470892,0.420714,0.420714,0,0
UNT_PB,D,20121114,000000,0.427078,0.470892,0.427078,0.470892,0,0
UNT_PB,D,20121115,000000,0.470892,0.477265,0.470892,0.477265,0,0
UNT_PB,D,20121116,000000,0.477265,0.477265,0.420714,0.427078,0,0
UNT_PB,D,20121119,000000,0.420714,0.420714,0.414376,0.414376,0,0
UNT_PB,D,20121120,000000,0.401913,0.477265,0.389282,0.477265,0,0
UNT_PB,D,20121122,000000,0.470892,0.477265,0.470892,0.477265,0,0
UNT_PB,D,20121123,000000,0.477265,0.477265,0.439505,0.439505,0,0
UNT_PB,D,20121130,000000,0.433203,0.433203,0.420714,0.420714,0,0
UNT_PB,D,20121203,000000,0.420714,0.420714,0.420714,0.420714,0,0
UNT_PB,D,20121206,000000,0.420714,0.420714,0.414376,0.414376,0,0
UNT_PB,D,20121207,000000,0.420714,0.420714,0.420714,0.420714,0,0
UNT_PB,D,20121210,000000,0.420714,0.420714,0.414376,0.414376,0,0
UNT_PB,D,20121214,000000,0.389282,0.389282,0.389282,0.389282,0,0
UNT_PB,D,20121221,000000,0.389282,0.414376,0.389282,0.414376,0,0
UNT_PB,D,20121227,000000,0.420714,0.427078,0.420714,0.427078,0,0
UNT_PB,D,20121228,000000,0.427078,0.427078,0.427078,0.427078,0,0
UNT_PB,D,20130107,000000,0.420714,0.420714,0.389282,0.408145,0,0
UNT_PB,D,20130108,000000,0.427078,0.452127,0.427078,0.452127,0,0
UNT_PB,D,20130109,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130110,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130111,000000,0.452127,0.452127,0.433203,0.433203,0,0
UNT_PB,D,20130114,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130115,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130117,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130118,000000,0.427078,0.427078,0.427078,0.427078,0,0
UNT_PB,D,20130123,000000,0.427078,0.427078,0.427078,0.427078,0,0
UNT_PB,D,20130124,000000,0.427078,0.427078,0.427078,0.427078,0,0
UNT_PB,D,20130125,000000,0.427078,0.427078,0.427078,0.427078,0,0
UNT_PB,D,20130129,000000,0.439505,0.452127,0.439505,0.452127,0,0
UNT_PB,D,20130130,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130131,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130201,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130204,000000,0.452127,0.452127,0.452127,0.452127,0,0
UNT_PB,D,20130205,000000,0.452127,0.452127,0.414376,0.414376,0,0
UNT_PB,D,20130206,000000,0.420714,0.420714,0.420714,0.420714,0,0
UNT_PB,D,20130207,000000,0.408145,0.408145,0.383007,0.383007,0,0
UNT_PB,D,20130208,000000,0.383007,0.395629,0.383007,0.395629,0,0
UNT_PB,D,20130211,000000,0.395629,0.427078,0.395629,0.427078,0,0
UNT_PB,D,20130214,000000,0.433203,0.433203,0.433203,0.433203,0,0
UNT_PB,D,20130215,000000,0.433203,0.433203,0.433203,0.433203,0,0
UNT_PB,D,20130218,000000,0.433203,0.433203,0.433203,0.433203,0,0
UNT_PB,D,20130219,000000,0.433203,0.433203,0.401913,0.433203,0,0
UNT_PB,D,20130220,000000,0.401913,0.433203,0.389282,0.433203,0,0
UNT_PB,D,20130221,000000,0.420714,0.420714,0.401913,0.401913,0,0
UNT_PB,D,20130225,000000,0.389282,0.389282,0.376793,0.376793,0,0
UNT_PB,D,20130226,000000,0.376793,0.376793,0.376793,0.376793,0,0
UNT_PB,D,20130227,000000,0.370447,0.370447,0.313957,0.332793,0,0
UNT_PB,D,20130228,000000,0.326526,0.326526,0.320242,0.320242,0,0
UNT_PB,D,20130301,000000,0.313957,0.313957,0.27001,0.307691,0,0
UNT_PB,D,20130305,000000,0.282571,0.282571,0.282571,0.282571,0,0
UNT_PB,D,20130306,000000,0.295131,0.295131,0.295131,0.295131,0,0
UNT_PB,D,20130307,000000,0.282571,0.282571,0.282571,0.282571,0,0
UNT_PB,D,20130308,000000,0.282571,0.282571,0.257459,0.282571,0,0
UNT_PB,D,20130311,000000,0.288855,0.295131,0.282571,0.295131,0,0
UNT_PB,D,20130312,000000,0.313957,0.339086,0.295131,0.295131,0,0
UNT_PB,D,20130313,000000,0.295131,0.295131,0.295131,0.295131,0,0
UNT_PB,D,20130314,000000,0.282571,0.282571,0.282571,0.282571,0,0
UNT_PB,D,20130315,000000,0.282571,0.351576,0.282571,0.351576,0,0
UNT_PB,D,20130318,000000,0.364242,0.364242,0.288855,0.364242,0,0
UNT_PB,D,20130319,000000,0.364242,0.364242,0.364242,0.364242,0,0
UNT_PB,D,20130320,000000,0.364242,0.364242,0.364242,0.364242,0,0
UNT_PB,D,20130321,000000,0.364242,0.364242,0.295131,0.295131,0,0
UNT_PB,D,20130322,000000,0.282571,0.339086,0.282571,0.339086,0,0
UNT_PB,D,20130326,000000,0.326526,0.326526,0.282571,0.282571,0,0
UNT_PB,D,20130327,000000,0.282571,0.339086,0.282571,0.339086,0,0
UNT_PB,D,20130328,000000,0.357896,0.357896,0.357896,0.357896,0,0
UNT_PB,D,20130402,000000,0.357896,0.357896,0.357896,0.357896,0,0
UNT_PB,D,20130403,000000,0.357896,0.357896,0.320242,0.320242,0,0
UNT_PB,D,20130404,000000,0.320242,0.320242,0.320242,0.320242,0,0
UNT_PB,D,20130405,000000,0.320242,0.320242,0.301415,0.301415,0,0
UNT_PB,D,20130412,000000,0.295131,0.295131,0.276277,0.276277,0,0
UNT_PB,D,20130415,000000,0.276277,0.276277,0.276277,0.276277,0,0
UNT_PB,D,20130417,000000,0.276277,0.326526,0.276277,0.320242,0,0
UNT_PB,D,20130418,000000,0.326526,0.345433,0.326526,0.345433,0,0
UNT_PB,D,20130419,000000,0.339086,0.339086,0.339086,0.339086,0,0
UNT_PB,D,20130422,000000,0.332793,0.339086,0.320242,0.339086,0,0
UNT_PB,D,20130430,000000,0.33513,0.33513,0.30161,0.308319,0,0
UNT_PB,D,20130506,000000,0.307691,0.307691,0.307691,0.307691,0,0
UNT_PB,D,20130507,000000,0.313957,0.313957,0.313957,0.313957,0,0
UNT_PB,D,20130514,000000,0.295131,0.320242,0.295131,0.320242,0,0
UNT_PB,D,20130524,000000,0.326526,0.326526,0.326526,0.326526,0,0
UNT_PB,D,20130527,000000,0.326526,0.326526,0.313957,0.320242,0,0
UNT_PB,D,20130528,000000,0.282571,0.282571,0.282571,0.282571,0,0
UNT_PB,D,20130603,000000,0.288855,0.326526,0.288855,0.326526,0,0
UNT_PB,D,20130604,000000,0.328429,0.328429,0.328429,0.328429,0,0
UNT_PB,D,20130605,000000,0.328429,0.328429,0.328429,0.328429,0,0
UNT_PB,D,20130606,000000,0.328429,0.328429,0.321729,0.321729,0,0
UNT_PB,D,20130607,000000,0.320242,0.320242,0.320242,0.320242,0,0
UNT_PB,D,20130610,000000,0.320242,0.320242,0.320242,0.320242,0,0
UNT_PB,D,20130611,000000,0.320242,0.320242,0.320242,0.320242,0,0
UNT_PB,D,20130612,000000,0.332793,0.332793,0.332793,0.332793,0,0
UNT_PB,D,20130613,000000,0.332793,0.364242,0.332793,0.364242,0,0
UNT_PB,D,20130614,000000,0.370447,0.383007,0.370447,0.383007,0,0
UNT_PB,D,20130620,000000,0.376793,0.383007,0.376793,0.383007,0,0
UNT_PB,D,20130624,000000,0.370447,0.370447,0.307691,0.313957,0,0
UNT_PB,D,20130625,000000,0.315011,0.315011,0.315011,0.315011,0,0
UNT_PB,D,20130626,000000,0.315011,0.315011,0.315011,0.315011,0,0
UNT_PB,D,20130627,000000,0.315011,0.315011,0.315011,0.315011,0,0
UNT_PB,D,20130628,000000,0.313957,0.376793,0.313957,0.376793,0,0
UNT_PB,D,20130701,000000,0.38206,0.448941,0.348504,0.448941,0,0
UNT_PB,D,20130702,000000,0.448941,0.536303,0.362003,0.448941,0,0
UNT_PB,D,20130703,000000,0.448941,0.536303,0.448941,0.536303,0,0
UNT_PB,D,20130704,000000,0.49603,0.563034,0.49603,0.563034,0,0
UNT_PB,D,20130705,000000,0.549669,0.563034,0.448941,0.556396,0,0
UNT_PB,D,20130708,000000,0.549669,0.549669,0.469122,0.536303,0,0
UNT_PB,D,20130709,000000,0.475849,0.536303,0.402197,0.536303,0,0
UNT_PB,D,20130710,000000,0.603131,0.603131,0.596581,0.596581,0,0
UNT_PB,D,20130711,000000,0.596581,0.596581,0.482576,0.482576,0,0
UNT_PB,D,20130712,000000,0.489391,0.489391,0.408862,0.422333,0,0
UNT_PB,D,20130715,000000,0.422333,0.422333,0.422333,0.422333,0,0
UNT_PB,D,20130716,000000,0.422333,0.422333,0.422333,0.422333,0,0
UNT_PB,D,20130717,000000,0.448941,0.455845,0.448941,0.455845,0,0
UNT_PB,D,20130718,000000,0.469122,0.563034,0.422333,0.542942,0,0
UNT_PB,D,20130719,000000,0.569761,0.596581,0.482576,0.482576,0,0
UNT_PB,D,20130722,000000,0.469122,0.542942,0.448941,0.542942,0,0
