<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_PE,D,20120926,000000,11.7413,11.7413,11.7413,11.7413,0,0
UNT_PE,D,20120927,000000,11.7413,11.7413,11.1146,11.1146,0,0
UNT_PE,D,20121008,000000,11.1146,11.1146,11.1146,11.1146,0,0
UNT_PE,D,20121009,000000,11.428,11.428,11.428,11.428,0,0
UNT_PE,D,20121010,000000,11.1146,11.1146,10.6747,10.6747,0,0
UNT_PE,D,20121011,000000,10.7376,10.7376,10.3605,10.3605,0,0
UNT_PE,D,20121012,000000,10.8624,12.9991,10.8624,12.8106,0,0
UNT_PE,D,20121015,000000,12.8106,12.8106,10.4242,10.4862,0,0
UNT_PE,D,20121016,000000,10.4862,10.4862,8.9797,8.9797,0,0
UNT_PE,D,20121017,000000,8.9797,9.35676,8.9797,9.10627,0,0
UNT_PE,D,20121018,000000,8.9797,9.16823,8.9797,9.16823,0,0
UNT_PE,D,20121019,000000,9.23019,9.41784,8.9797,8.9797,0,0
UNT_PE,D,20121022,000000,8.9797,9.35676,8.9797,9.35676,0,0
UNT_PE,D,20121023,000000,9.54353,11.6174,9.54353,11.6174,0,0
UNT_PE,D,20121024,000000,11.6174,11.6174,10.4242,11.1146,0,0
UNT_PE,D,20121025,000000,11.3023,11.3023,11.3023,11.3023,0,0
UNT_PE,D,20121029,000000,11.1146,11.1146,10.7376,10.9252,0,0
UNT_PE,D,20121030,000000,11.3651,11.6174,11.3651,11.6174,0,0
UNT_PE,D,20121031,000000,11.6794,12.1184,11.6794,12.1184,0,0
UNT_PE,D,20121105,000000,12.0555,12.0555,12.0555,12.0555,0,0
UNT_PE,D,20121106,000000,12.0555,12.0555,12.0555,12.0555,0,0
UNT_PE,D,20121107,000000,12.0555,12.0555,11.3023,11.3023,0,0
UNT_PE,D,20121108,000000,11.4917,11.4917,9.73206,10.7376,0,0
UNT_PE,D,20121109,000000,10.7376,10.7376,10.7376,10.7376,0,0
UNT_PE,D,20121112,000000,10.9252,12.0555,10.9252,12.0555,0,0
UNT_PE,D,20121113,000000,12.0555,12.0555,10.7376,10.7376,0,0
UNT_PE,D,20121114,000000,10.9252,12.0555,10.9252,12.0555,0,0
UNT_PE,D,20121115,000000,12.0555,12.1184,12.0555,12.1184,0,0
UNT_PE,D,20121116,000000,12.1821,12.1821,10.7376,10.9252,0,0
UNT_PE,D,20121119,000000,10.7376,10.7376,10.549,10.549,0,0
UNT_PE,D,20121120,000000,10.3605,12.1821,9.98432,12.1821,0,0
UNT_PE,D,20121122,000000,12.1184,12.1821,12.1184,12.1821,0,0
UNT_PE,D,20121123,000000,12.1821,12.1821,11.3023,11.3023,0,0
UNT_PE,D,20121130,000000,11.1146,11.1146,10.7376,10.7376,0,0
UNT_PE,D,20121203,000000,10.8013,10.8013,10.8013,10.8013,0,0
UNT_PE,D,20121206,000000,10.8013,10.8013,10.6119,10.6119,0,0
UNT_PE,D,20121207,000000,10.7376,10.7376,10.7376,10.7376,0,0
UNT_PE,D,20121210,000000,10.7376,10.7376,10.6119,10.6119,0,0
UNT_PE,D,20121214,000000,4.08154,4.08154,4.08154,4.08154,0,0
UNT_PE,D,20121221,000000,4.08154,4.33274,4.08154,4.33274,0,0
UNT_PE,D,20121227,000000,4.39558,4.45825,4.39558,4.39558,0,0
UNT_PE,D,20121228,000000,4.39558,4.45825,4.39558,4.45825,0,0
UNT_PE,D,20130107,000000,4.39558,4.39558,4.08154,4.26989,0,0
UNT_PE,D,20130108,000000,4.39558,4.70945,4.39558,4.70945,0,0
UNT_PE,D,20130109,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130110,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130111,000000,4.70945,4.70945,4.52109,4.52109,0,0
UNT_PE,D,20130114,000000,4.64661,4.70945,4.64661,4.70945,0,0
UNT_PE,D,20130115,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130117,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130118,000000,4.45825,4.45825,4.45825,4.45825,0,0
UNT_PE,D,20130123,000000,4.45825,4.45825,4.45825,4.45825,0,0
UNT_PE,D,20130124,000000,4.45825,4.45825,4.45825,4.45825,0,0
UNT_PE,D,20130125,000000,4.45825,4.45825,4.45825,4.45825,0,0
UNT_PE,D,20130129,000000,4.64661,4.70945,4.64661,4.70945,0,0
UNT_PE,D,20130130,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130131,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130201,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130204,000000,4.70945,4.70945,4.70945,4.70945,0,0
UNT_PE,D,20130205,000000,4.70945,4.70945,4.33274,4.33274,0,0
