<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC_PE,D,20210506,000000,38.412,38.412,38.412,38.412,0,0
VRC_PE,D,20210507,000000,37.3314,38.5103,36.2507,38.5103,0,0
VRC_PE,D,20210510,000000,39.4927,39.4927,38.412,38.5103,0,0
VRC_PE,D,20210511,000000,39.4927,39.4927,37.7243,37.7243,0,0
VRC_PE,D,20210512,000000,37.7243,38.1173,37.7243,38.1173,0,0
VRC_PE,D,20210513,000000,38.805,38.805,38.1173,38.1173,0,0
VRC_PE,D,20210514,000000,37.7243,37.7243,37.2331,37.3314,0,0
VRC_PE,D,20210517,000000,37.3314,37.4296,37.2331,37.4296,0,0
VRC_PE,D,20210518,000000,37.2331,37.9208,37.1349,37.2331,0,0
VRC_PE,D,20210519,000000,37.5279,38.1173,37.5279,38.1173,0,0
VRC_PE,D,20210520,000000,37.4296,38.6085,37.4296,38.6085,0,0
VRC_PE,D,20210521,000000,38.6085,39.5909,38.412,39.4927,0,0
VRC_PE,D,20210524,000000,39.4927,39.4927,38.0191,39.4927,0,0
VRC_PE,D,20210525,000000,37.4296,38.6085,37.4296,37.8226,0,0
VRC_PE,D,20210526,000000,38.6085,38.6085,37.7243,38.0191,0,0
VRC_PE,D,20210527,000000,38.0191,38.0191,37.6261,37.7243,0,0
VRC_PE,D,20210528,000000,38.0191,38.1173,37.4296,37.4296,0,0
VRC_PE,D,20210531,000000,37.4296,37.9208,36.5455,37.9208,0,0
VRC_PE,D,20210601,000000,38.0191,38.0191,35.7595,35.7595,0,0
VRC_PE,D,20210602,000000,35.7595,35.7595,35.7595,35.7595,0,0
VRC_PE,D,20210604,000000,35.563,35.7595,35.2683,35.7595,0,0
VRC_PE,D,20210607,000000,35.7595,35.7595,35.0718,35.4648,0,0
VRC_PE,D,20210608,000000,35.7595,35.7595,35.6613,35.6613,0,0
VRC_PE,D,20210609,000000,36.8402,36.8402,35.7595,35.7595,0,0
VRC_PE,D,20210610,000000,35.7595,36.349,35.6613,35.7595,0,0
VRC_PE,D,20210611,000000,36.9384,36.9384,36.8402,36.8402,0,0
VRC_PE,D,20210614,000000,36.9384,36.9384,36.0543,36.4472,0,0
VRC_PE,D,20210615,000000,36.9384,36.9384,36.4472,36.4472,0,0
VRC_PE,D,20210616,000000,36.4472,36.4472,36.0543,36.1525,0,0
VRC_PE,D,20210617,000000,36.9384,36.9384,36.1525,36.7419,0,0
VRC_PE,D,20210618,000000,36.7419,36.7419,36.349,36.4472,0,0
VRC_PE,D,20210621,000000,35.7595,35.7595,35.563,35.563,0,0
VRC_PE,D,20210622,000000,35.6613,35.7595,35.6613,35.7595,0,0
VRC_PE,D,20210623,000000,35.8578,36.8402,35.2683,36.7419,0,0
VRC_PE,D,20210624,000000,36.7419,46.0748,35.6613,46.0748,0,0
VRC_PE,D,20210625,000000,46.0748,46.4677,45.5836,46.3695,0,0
VRC_PE,D,20210628,000000,45.7801,45.7801,45.5836,45.5836,0,0
VRC_PE,D,20210629,000000,45.4853,45.7801,44.7977,44.7977,0,0
VRC_PE,D,20210630,000000,45.5836,45.5836,44.7977,45.3871,0,0
VRC_PE,D,20210701,000000,44.8959,46.2713,44.8959,46.0748,0,0
VRC_PE,D,20210702,000000,45.6818,46.4677,45.6818,46.3695,0,0
VRC_PE,D,20210705,000000,46.3695,46.8607,45.7801,46.4677,0,0
VRC_PE,D,20210706,000000,46.4677,47.2537,46.4677,46.9589,0,0
VRC_PE,D,20210707,000000,47.3519,48.2361,47.3519,47.9413,0,0
VRC_PE,D,20210708,000000,47.9413,47.9413,47.3519,47.5484,0,0
VRC_PE,D,20210709,000000,47.8431,47.8431,47.0572,47.4501,0,0
VRC_PE,D,20210712,000000,47.4501,48.1378,47.4501,47.9413,0,0
VRC_PE,D,20210713,000000,47.9413,48.629,47.5484,47.5484,0,0
VRC_PE,D,20210714,000000,47.9413,48.1378,46.4677,47.3519,0,0
VRC_PE,D,20210715,000000,47.7449,48.0396,47.1554,47.8431,0,0
VRC_PE,D,20210716,000000,47.6466,47.6466,47.2537,47.5484,0,0
VRC_PE,D,20210719,000000,47.5484,47.5484,46.3695,46.4677,0,0
VRC_PE,D,20210720,000000,46.3695,47.1554,46.3695,46.4677,0,0
VRC_PE,D,20210721,000000,46.566,47.0572,46.173,47.0572,0,0
VRC_PE,D,20210722,000000,47.2537,47.3519,46.2713,46.9589,0,0
VRC_PE,D,20210723,000000,46.9589,47.3519,46.2713,46.4677,0,0
VRC_PE,D,20210726,000000,46.8607,46.8607,46.173,46.173,0,0
VRC_PE,D,20210727,000000,46.173,46.2713,45.9765,46.2713,0,0
VRC_PE,D,20210728,000000,46.4677,46.4677,46.0748,46.0748,0,0
VRC_PE,D,20210729,000000,46.2713,46.6642,46.0748,46.173,0,0
VRC_PE,D,20210730,000000,46.3695,46.4677,45.9765,46.2713,0,0
VRC_PE,D,20210802,000000,46.4677,46.566,46.4677,46.566,0,0
VRC_PE,D,20210803,000000,47.2537,47.3519,46.9589,47.0572,0,0
VRC_PE,D,20210804,000000,47.3519,47.3519,47.0572,47.3519,0,0
VRC_PE,D,20210805,000000,46.566,47.3519,46.566,46.9589,0,0
VRC_PE,D,20210806,000000,47.0572,47.0572,46.4677,46.9589,0,0
VRC_PE,D,20210809,000000,46.8607,48.5308,46.8607,48.2361,0,0
VRC_PE,D,20210810,000000,48.2361,48.2361,47.5484,48.0396,0,0
VRC_PE,D,20210811,000000,48.2361,48.2361,47.5484,47.8431,0,0
VRC_PE,D,20210812,000000,47.8431,47.8431,46.9589,46.9589,0,0
VRC_PE,D,20210813,000000,47.3519,47.7449,46.9589,47.3519,0,0
VRC_PE,D,20210816,000000,47.7449,48.1378,47.3519,47.3519,0,0
VRC_PE,D,20210817,000000,47.7449,47.7449,46.8607,47.2537,0,0
VRC_PE,D,20210818,000000,47.2537,47.2537,46.9589,46.9589,0,0
VRC_PE,D,20210819,000000,46.9589,47.1554,46.9589,47.1554,0,0
VRC_PE,D,20210820,000000,47.1554,47.1554,46.9589,47.0572,0,0
VRC_PE,D,20210823,000000,47.2537,48.4326,46.9589,48.0396,0,0
VRC_PE,D,20210824,000000,48.1378,48.3343,47.6466,48.3343,0,0
VRC_PE,D,20210825,000000,48.2361,48.2361,47.6466,47.9413,0,0
VRC_PE,D,20210826,000000,47.7449,48.0396,47.6466,48.0396,0,0
VRC_PE,D,20210827,000000,48.1378,48.1378,47.8431,47.8431,0,0
VRC_PE,D,20210830,000000,47.9413,47.9413,47.5484,47.7449,0,0
VRC_PE,D,20210831,000000,47.3519,47.7449,47.3519,47.7449,0,0
VRC_PE,D,20210901,000000,47.4501,47.7449,44.2082,44.2082,0,0
VRC_PE,D,20210902,000000,44.5029,44.5029,43.717,44.2082,0,0
VRC_PE,D,20210903,000000,44.2082,44.5029,43.8152,44.3065,0,0
VRC_PE,D,20210906,000000,44.5029,44.5029,43.8152,44.11,0,0
VRC_PE,D,20210907,000000,43.9135,44.11,43.717,44.0117,0,0
VRC_PE,D,20210908,000000,44.0117,44.11,43.717,44.0117,0,0
VRC_PE,D,20210909,000000,44.2082,44.2082,43.717,43.8152,0,0
VRC_PE,D,20210910,000000,43.717,44.0117,43.717,43.9135,0,0
VRC_PE,D,20210913,000000,44.2082,44.2082,43.717,43.8152,0,0
VRC_PE,D,20210914,000000,44.0117,44.0117,43.5205,43.5205,0,0
VRC_PE,D,20210915,000000,43.5205,44.2082,43.5205,43.8152,0,0
VRC_PE,D,20210916,000000,44.0117,44.11,43.6188,44.11,0,0
VRC_PE,D,20210917,000000,44.2082,44.6012,43.5205,44.2082,0,0
VRC_PE,D,20210920,000000,44.5029,44.5029,43.324,43.324,0,0
VRC_PE,D,20210921,000000,43.324,43.717,42.9311,43.0293,0,0
VRC_PE,D,20210922,000000,43.0293,43.4223,43.0293,43.324,0,0
VRC_PE,D,20210923,000000,43.324,43.324,42.9311,43.0293,0,0
VRC_PE,D,20210924,000000,43.0293,43.324,42.9311,43.324,0,0
VRC_PE,D,20210927,000000,43.324,44.7977,43.0293,44.6994,0,0
VRC_PE,D,20210928,000000,44.6994,44.6994,43.1276,43.4223,0,0
VRC_PE,D,20210929,000000,43.324,44.6012,43.0293,44.5029,0,0
VRC_PE,D,20210930,000000,43.324,44.6012,43.324,44.6012,0,0
VRC_PE,D,20211001,000000,43.9135,44.5029,43.9135,44.5029,0,0
VRC_PE,D,20211004,000000,44.5029,44.5029,43.717,44.2082,0,0
VRC_PE,D,20211005,000000,44.2082,44.2082,43.5205,43.5205,0,0
VRC_PE,D,20211006,000000,43.717,44.6012,43.4223,43.4223,0,0
VRC_PE,D,20211007,000000,43.4223,43.5205,43.324,43.5205,0,0
VRC_PE,D,20211008,000000,43.324,43.6188,43.324,43.6188,0,0
VRC_PE,D,20211011,000000,43.6188,44.2082,43.6188,43.6188,0,0
VRC_PE,D,20211012,000000,43.6188,43.8152,43.4223,43.4223,0,0
VRC_PE,D,20211013,000000,44.2082,44.2082,43.4223,43.4223,0,0
VRC_PE,D,20211014,000000,43.717,44.0117,43.4223,43.8152,0,0
VRC_PE,D,20211015,000000,43.717,43.717,43.324,43.4223,0,0
VRC_PE,D,20211018,000000,43.4223,43.8152,43.4223,43.8152,0,0
VRC_PE,D,20211019,000000,43.8152,44.2082,43.5205,44.2082,0,0
VRC_PE,D,20211020,000000,44.11,44.11,43.5205,43.5205,0,0
VRC_PE,D,20211021,000000,43.717,44.2082,43.5205,43.8152,0,0
VRC_PE,D,20211022,000000,44.2082,44.5029,43.5205,44.2082,0,0
VRC_PE,D,20211025,000000,43.4223,44.4047,43.4223,43.8152,0,0
VRC_PE,D,20211026,000000,43.8152,44.2082,43.717,44.2082,0,0
VRC_PE,D,20211027,000000,44.2082,44.2082,43.5205,43.5205,0,0
VRC_PE,D,20211028,000000,44.11,44.11,43.5205,43.5205,0,0
VRC_PE,D,20211029,000000,43.5205,43.6188,43.4223,43.4223,0,0
VRC_PE,D,20211102,000000,43.5205,43.5205,43.324,43.4223,0,0
VRC_PE,D,20211103,000000,43.6188,43.6188,43.1276,43.324,0,0
VRC_PE,D,20211104,000000,43.0293,44.0117,42.9311,43.8152,0,0
VRC_PE,D,20211105,000000,43.9135,44.0117,43.0293,43.9135,0,0
VRC_PE,D,20211108,000000,43.9135,43.9135,43.0293,43.6188,0,0
VRC_PE,D,20211109,000000,43.4223,43.4223,43.1276,43.324,0,0
VRC_PE,D,20211110,000000,43.1276,43.324,43.1276,43.2258,0,0
VRC_PE,D,20211112,000000,43.2258,43.8152,43.0293,43.8152,0,0
VRC_PE,D,20211115,000000,43.4223,43.8152,43.0293,43.8152,0,0
VRC_PE,D,20211116,000000,43.8152,44.3065,43.8152,43.8152,0,0
VRC_PE,D,20211117,000000,42.9311,42.9311,40.868,42.9311,0,0
VRC_PE,D,20211118,000000,42.7346,42.9311,40.868,42.3416,0,0
VRC_PE,D,20211119,000000,42.6364,42.6364,41.1628,41.654,0,0
VRC_PE,D,20211122,000000,41.654,41.654,40.6716,40.9663,0,0
VRC_PE,D,20211123,000000,40.9663,41.1628,40.0821,40.7698,0,0
VRC_PE,D,20211124,000000,40.868,40.868,40.0821,40.4751,0,0
VRC_PE,D,20211125,000000,40.4751,40.6716,40.1804,40.6716,0,0
VRC_PE,D,20211126,000000,40.6716,40.6716,39.3944,39.3944,0,0
VRC_PE,D,20211129,000000,39.2962,39.8856,39.2962,39.6891,0,0
VRC_PE,D,20211130,000000,39.8856,39.8856,39.2962,39.2962,0,0
VRC_PE,D,20211201,000000,39.8856,39.8856,39.3944,39.6891,0,0
VRC_PE,D,20211202,000000,39.8856,39.8856,39.3944,39.8856,0,0
VRC_PE,D,20211203,000000,39.6891,39.6891,39.2962,39.6891,0,0
VRC_PE,D,20211206,000000,39.3944,40.3768,39.2962,39.9839,0,0
VRC_PE,D,20211207,000000,39.2962,40.1804,39.2962,39.6891,0,0
VRC_PE,D,20211208,000000,40.3768,40.3768,39.2962,39.2962,0,0
VRC_PE,D,20211209,000000,39.6891,39.6891,39.0015,39.4927,0,0
VRC_PE,D,20211210,000000,39.5909,39.5909,39.0015,39.5909,0,0
VRC_PE,D,20211213,000000,39.5909,39.9839,39.1979,39.4927,0,0
VRC_PE,D,20211214,000000,39.6891,39.6891,38.9032,39.4927,0,0
VRC_PE,D,20211215,000000,39.6891,39.7874,38.805,39.0015,0,0
VRC_PE,D,20211216,000000,39.3944,39.3944,38.9032,38.9032,0,0
VRC_PE,D,20211217,000000,38.9032,39.9839,38.9032,39.8856,0,0
VRC_PE,D,20211220,000000,40.0821,41.3592,39.6891,41.3592,0,0
VRC_PE,D,20211221,000000,41.3592,41.3592,40.6716,41.0645,0,0
VRC_PE,D,20211222,000000,40.868,40.868,40.2786,40.6716,0,0
VRC_PE,D,20211223,000000,40.868,41.261,39.8856,41.261,0,0
VRC_PE,D,20211227,000000,41.261,41.261,40.4751,40.4751,0,0
VRC_PE,D,20211228,000000,40.4751,40.4751,39.6891,39.8856,0,0
VRC_PE,D,20211229,000000,39.8856,40.868,39.6891,40.5733,0,0
VRC_PE,D,20211230,000000,40.5733,40.5733,39.6891,40.0821,0,0
VRC_PE,D,20220103,000000,40.0821,41.261,39.9839,41.261,0,0
VRC_PE,D,20220104,000000,41.261,41.3592,40.5733,41.3592,0,0
VRC_PE,D,20220105,000000,41.1628,41.3592,40.1804,41.0645,0,0
VRC_PE,D,20220107,000000,41.0645,41.0645,40.1804,40.868,0,0
VRC_PE,D,20220110,000000,41.261,41.261,40.3768,40.3768,0,0
VRC_PE,D,20220111,000000,40.5733,40.5733,39.8856,39.9839,0,0
VRC_PE,D,20220112,000000,40.4751,41.0645,39.9839,40.1804,0,0
VRC_PE,D,20220113,000000,40.9663,40.9663,39.8856,39.8856,0,0
VRC_PE,D,20220114,000000,39.8856,39.8856,39.6891,39.8856,0,0
VRC_PE,D,20220117,000000,39.8856,39.8856,39.5909,39.8856,0,0
VRC_PE,D,20220118,000000,39.8856,40.868,39.6891,40.7698,0,0
VRC_PE,D,20220119,000000,40.7698,40.7698,39.5909,40.7698,0,0
VRC_PE,D,20220120,000000,40.7698,40.7698,39.9839,40.7698,0,0
VRC_PE,D,20220121,000000,40.7698,40.7698,39.0997,39.6891,0,0
VRC_PE,D,20220124,000000,39.9839,39.9839,36.1525,37.3314,0,0
VRC_PE,D,20220125,000000,35.6613,37.2331,35.6613,37.2331,0,0
VRC_PE,D,20220126,000000,37.1349,37.1349,36.8402,37.1349,0,0
