<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG_MV,D,20070813,000000,1080.09,1080.09,1080.09,1080.09,0,0
VRG_MV,D,20070814,000000,1062.03,1062.03,1062.03,1062.03,0,0
VRG_MV,D,20070816,000000,1011.46,1011.46,1011.46,1011.46,0,0
VRG_MV,D,20070817,000000,1047.57,1047.57,1047.57,1047.57,0,0
VRG_MV,D,20070820,000000,1047.57,1047.57,1047.57,1047.57,0,0
VRG_MV,D,20070821,000000,1018.68,1018.68,1018.68,1018.68,0,0
VRG_MV,D,20070822,000000,1083.7,1083.7,1083.7,1083.7,0,0
VRG_MV,D,20070823,000000,1119.82,1119.82,1119.82,1119.82,0,0
VRG_MV,D,20070824,000000,1105.38,1105.38,1105.38,1105.38,0,0
VRG_MV,D,20070827,000000,1119.82,1119.82,1119.82,1119.82,0,0
VRG_MV,D,20070828,000000,1105.38,1105.38,1105.38,1105.38,0,0
VRG_MV,D,20070829,000000,1098.15,1098.15,1098.15,1098.15,0,0
VRG_MV,D,20070830,000000,1090.2,1090.2,1090.2,1090.2,0,0
VRG_MV,D,20070831,000000,1083.7,1083.7,1083.7,1083.7,0,0
VRG_MV,D,20070903,000000,1134.28,1134.28,1134.28,1134.28,0,0
VRG_MV,D,20070904,000000,1141.5,1141.5,1141.5,1141.5,0,0
VRG_MV,D,20070905,000000,1148.73,1148.73,1148.73,1148.73,0,0
VRG_MV,D,20070906,000000,1134.28,1134.28,1134.28,1134.28,0,0
VRG_MV,D,20070907,000000,1134.28,1134.28,1134.28,1134.28,0,0
VRG_MV,D,20070910,000000,1123.44,1123.44,1123.44,1123.44,0,0
VRG_MV,D,20070911,000000,1098.15,1098.15,1098.15,1098.15,0,0
VRG_MV,D,20070912,000000,1119.82,1119.82,1119.82,1119.82,0,0
VRG_MV,D,20070913,000000,1141.5,1141.5,1141.5,1141.5,0,0
VRG_MV,D,20070914,000000,1134.28,1134.28,1134.28,1134.28,0,0
VRG_MV,D,20070917,000000,1112.6,1112.6,1112.6,1112.6,0,0
VRG_MV,D,20070918,000000,1108.99,1108.99,1108.99,1108.99,0,0
VRG_MV,D,20070919,000000,1123.44,1123.44,1123.44,1123.44,0,0
VRG_MV,D,20070920,000000,1111.88,1111.88,1111.88,1111.88,0,0
VRG_MV,D,20070921,000000,1119.82,1119.82,1119.82,1119.82,0,0
VRG_MV,D,20070924,000000,1119.82,1119.82,1119.82,1119.82,0,0
VRG_MV,D,20070925,000000,1102.49,1102.49,1102.49,1102.49,0,0
VRG_MV,D,20070926,000000,1080.09,1080.09,1080.09,1080.09,0,0
VRG_MV,D,20070927,000000,1090.93,1090.93,1090.93,1090.93,0,0
VRG_MV,D,20070928,000000,1076.48,1076.48,1076.48,1076.48,0,0
VRG_MV,D,20071001,000000,1069.25,1069.25,1069.25,1069.25,0,0
VRG_MV,D,20071002,000000,1018.68,1018.68,1018.68,1018.68,0,0
VRG_MV,D,20071003,000000,1082.26,1082.26,1082.26,1082.26,0,0
VRG_MV,D,20071004,000000,1076.48,1076.48,1076.48,1076.48,0,0
