<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS_PB,D,20070813,000000,2.24895,2.24895,2.24895,2.24895,0,0
WAS_PB,D,20070814,000000,2.26397,2.26397,2.26397,2.26397,0,0
WAS_PB,D,20070816,000000,1.80228,1.80228,1.80228,1.80228,0,0
WAS_PB,D,20070817,000000,1.90651,1.90651,1.90651,1.90651,0,0
WAS_PB,D,20070820,000000,2.00322,2.00322,2.00322,2.00322,0,0
WAS_PB,D,20070821,000000,1.90651,1.90651,1.90651,1.90651,0,0
WAS_PB,D,20070822,000000,2.07787,2.07787,2.07787,2.07787,0,0
WAS_PB,D,20070823,000000,2.18199,2.18199,2.18199,2.18199,0,0
WAS_PB,D,20070824,000000,2.331,2.331,2.331,2.331,0,0
WAS_PB,D,20070827,000000,2.33833,2.33833,2.33833,2.33833,0,0
WAS_PB,D,20070828,000000,2.331,2.331,2.331,2.331,0,0
WAS_PB,D,20070829,000000,2.2788,2.2788,2.2788,2.2788,0,0
WAS_PB,D,20070830,000000,2.26397,2.26397,2.26397,2.26397,0,0
WAS_PB,D,20070831,000000,2.25655,2.25655,2.25655,2.25655,0,0
WAS_PB,D,20070903,000000,2.27147,2.27147,2.27147,2.27147,0,0
WAS_PB,D,20070904,000000,2.28631,2.28631,2.28631,2.28631,0,0
WAS_PB,D,20070905,000000,2.20435,2.20435,2.20435,2.20435,0,0
WAS_PB,D,20070906,000000,2.22678,2.22678,2.22678,2.22678,0,0
WAS_PB,D,20070907,000000,2.13739,2.13739,2.13739,2.13739,0,0
WAS_PB,D,20070910,000000,2.17467,2.17467,2.17467,2.17467,0,0
WAS_PB,D,20070911,000000,2.18199,2.18199,2.18199,2.18199,0,0
WAS_PB,D,20070912,000000,2.18199,2.18199,2.18199,2.18199,0,0
WAS_PB,D,20070913,000000,2.18199,2.18199,2.18199,2.18199,0,0
WAS_PB,D,20070914,000000,2.17467,2.17467,2.17467,2.17467,0,0
WAS_PB,D,20070917,000000,2.16716,2.16716,2.16716,2.16716,0,0
WAS_PB,D,20070918,000000,2.15975,2.15975,2.15975,2.15975,0,0
WAS_PB,D,20070919,000000,2.22678,2.22678,2.22678,2.22678,0,0
WAS_PB,D,20070920,000000,2.18933,2.18933,2.18933,2.18933,0,0
WAS_PB,D,20070921,000000,2.20435,2.20435,2.20435,2.20435,0,0
WAS_PB,D,20070924,000000,2.18933,2.18933,2.18933,2.18933,0,0
WAS_PB,D,20070925,000000,2.18199,2.18199,2.18199,2.18199,0,0
WAS_PB,D,20070926,000000,2.22678,2.22678,2.22678,2.22678,0,0
WAS_PB,D,20070927,000000,2.2342,2.2342,2.2342,2.2342,0,0
WAS_PB,D,20070928,000000,2.13739,2.13739,2.13739,2.13739,0,0
WAS_PB,D,20071001,000000,2.13739,2.13739,2.13739,2.13739,0,0
WAS_PB,D,20071002,000000,2.45024,2.45024,2.45024,2.45024,0,0
WAS_PB,D,20071003,000000,2.47241,2.47241,2.47241,2.47241,0,0
WAS_PB,D,20071004,000000,2.51702,2.51702,2.51702,2.51702,0,0
WAS_PB,D,20071005,000000,2.53204,2.53204,2.53204,2.53204,0,0
WAS_PB,D,20071008,000000,2.43532,2.43532,2.43532,2.43532,0,0
WAS_PB,D,20071009,000000,2.35344,2.35344,2.35344,2.35344,0,0
WAS_PB,D,20071010,000000,2.30115,2.30115,2.30115,2.30115,0,0
WAS_PB,D,20071011,000000,2.30115,2.30115,2.30115,2.30115,0,0
WAS_PB,D,20071012,000000,2.47983,2.47983,2.47983,2.47983,0,0
WAS_PB,D,20071015,000000,2.91925,2.91925,2.91925,2.91925,0,0
WAS_PB,D,20071016,000000,2.6586,2.6586,2.6586,2.6586,0,0
WAS_PB,D,20071017,000000,2.65127,2.65127,2.65127,2.65127,0,0
WAS_PB,D,20071018,000000,2.80751,2.80751,2.80751,2.80751,0,0
WAS_PB,D,20071019,000000,2.80019,2.80019,2.80019,2.80019,0,0
WAS_PB,D,20071022,000000,2.71089,2.71089,2.71089,2.71089,0,0
WAS_PB,D,20071023,000000,2.71089,2.71089,2.71089,2.71089,0,0
WAS_PB,D,20071024,000000,2.69587,2.69587,2.69587,2.69587,0,0
WAS_PB,D,20071025,000000,2.71831,2.71831,2.71831,2.71831,0,0
WAS_PB,D,20071026,000000,2.6586,2.6586,2.6586,2.6586,0,0
WAS_PB,D,20071029,000000,2.70339,2.70339,2.70339,2.70339,0,0
WAS_PB,D,20071030,000000,2.71089,2.71089,2.71089,2.71089,0,0
WAS_PB,D,20071031,000000,2.80751,2.80751,2.80751,2.80751,0,0
WAS_PB,D,20071102,000000,2.80751,2.80751,2.80751,2.80751,0,0
WAS_PB,D,20071105,000000,2.78517,2.78517,2.78517,2.78517,0,0
WAS_PB,D,20071106,000000,2.87465,2.87465,2.87465,2.87465,0,0
WAS_PB,D,20071107,000000,2.78517,2.78517,2.78517,2.78517,0,0
WAS_PB,D,20071108,000000,2.75549,2.75549,2.75549,2.75549,0,0
WAS_PB,D,20071109,000000,2.76283,2.76283,2.70339,2.70339,0,0
WAS_PB,D,20071112,000000,2.65127,2.80751,2.65127,2.78517,0,0
WAS_PB,D,20071113,000000,2.80751,2.87465,2.77785,2.87465,0,0
WAS_PB,D,20071114,000000,2.91925,2.9416,2.87465,2.87465,0,0
WAS_PB,D,20071115,000000,2.91925,2.91925,2.71089,2.71089,0,0
WAS_PB,D,20071116,000000,2.70339,2.80019,2.62874,2.78517,0,0
WAS_PB,D,20071119,000000,2.78517,2.83737,2.72564,2.83737,0,0
WAS_PB,D,20071120,000000,2.85981,2.85981,2.66602,2.66602,0,0
WAS_PB,D,20071121,000000,2.5694,2.5694,2.5694,2.5694,0,0
WAS_PB,D,20071122,000000,2.5694,2.59916,2.18199,2.57682,0,0
WAS_PB,D,20071123,000000,2.57682,2.77785,2.49494,2.69587,0,0
WAS_PB,D,20071126,000000,2.71831,2.71831,2.62142,2.68095,0,0
WAS_PB,D,20071127,000000,2.71089,2.71089,2.53954,2.70339,0,0
WAS_PB,D,20071128,000000,2.71089,2.74057,2.69587,2.74057,0,0
WAS_PB,D,20071129,000000,2.74817,2.77785,2.69587,2.69587,0,0
WAS_PB,D,20071130,000000,2.66602,2.72564,2.6586,2.72564,0,0
WAS_PB,D,20071203,000000,2.74817,2.74817,2.6586,2.69587,0,0
WAS_PB,D,20071204,000000,2.68846,2.68846,2.68095,2.68846,0,0
WAS_PB,D,20071205,000000,2.70339,2.79286,2.70339,2.76283,0,0
WAS_PB,D,20071206,000000,2.76283,2.80751,2.71831,2.74057,0,0
WAS_PB,D,20071207,000000,2.73325,2.80019,2.70339,2.80019,0,0
WAS_PB,D,20071210,000000,2.80019,2.82987,2.71089,2.71831,0,0
WAS_PB,D,20071211,000000,2.77785,2.80019,2.71831,2.77785,0,0
WAS_PB,D,20071212,000000,2.71831,2.77033,2.71831,2.74817,0,0
WAS_PB,D,20071213,000000,2.75549,2.79286,2.69587,2.72564,0,0
WAS_PB,D,20071214,000000,2.6586,2.70339,2.6586,2.70339,0,0
WAS_PB,D,20071217,000000,2.66602,2.66602,2.50226,2.61391,0,0
WAS_PB,D,20071218,000000,2.60658,2.60658,2.51702,2.56189,0,0
WAS_PB,D,20071219,000000,2.54687,2.54687,2.50226,2.50226,0,0
WAS_PB,D,20071220,000000,2.51702,2.51702,2.33833,2.35344,0,0
WAS_PB,D,20071221,000000,2.13739,2.34593,2.13739,2.30875,0,0
WAS_PB,D,20071227,000000,2.30875,2.36828,2.30875,2.33833,0,0
WAS_PB,D,20071228,000000,2.34593,2.46508,2.34593,2.45024,0,0
WAS_PB,D,20080102,000000,2.48734,2.65127,2.48734,2.65127,0,0
WAS_PB,D,20080103,000000,2.59916,2.65127,2.53954,2.63643,0,0
WAS_PB,D,20080104,000000,2.63643,2.71831,2.61391,2.71831,0,0
WAS_PB,D,20080107,000000,2.65127,2.74817,2.65127,2.74817,0,0
WAS_PB,D,20080108,000000,2.74817,2.8523,2.71831,2.8523,0,0
WAS_PB,D,20080109,000000,2.8523,2.8523,2.65127,2.65127,0,0
WAS_PB,D,20080110,000000,2.77785,2.77785,2.53954,2.53954,0,0
WAS_PB,D,20080111,000000,2.59916,2.69587,2.57682,2.62142,0,0
WAS_PB,D,20080114,000000,2.52462,2.52462,2.52462,2.52462,0,0
WAS_PB,D,20080115,000000,2.49494,2.61391,2.45024,2.45024,0,0
WAS_PB,D,20080116,000000,2.35344,2.45024,2.34593,2.35344,0,0
WAS_PB,D,20080117,000000,2.45766,2.45766,2.36068,2.45024,0,0
WAS_PB,D,20080118,000000,2.41306,2.57682,2.41306,2.57682,0,0
WAS_PB,D,20080121,000000,2.56189,2.56189,2.38312,2.48734,0,0
WAS_PB,D,20080122,000000,2.38312,2.53204,2.36068,2.47983,0,0
WAS_PB,D,20080123,000000,2.48734,2.55438,2.45024,2.48734,0,0
WAS_PB,D,20080124,000000,2.53204,2.57682,2.48734,2.56189,0,0
WAS_PB,D,20080125,000000,2.62874,2.62874,2.50226,2.51702,0,0
WAS_PB,D,20080128,000000,2.48734,2.48734,2.41306,2.48734,0,0
WAS_PB,D,20080129,000000,2.48734,2.65127,2.42772,2.62142,0,0
WAS_PB,D,20080130,000000,2.55438,2.58414,2.52462,2.58414,0,0
WAS_PB,D,20080131,000000,2.5694,2.61391,2.48734,2.53954,0,0
WAS_PB,D,20080201,000000,2.58414,2.58414,2.48734,2.5694,0,0
WAS_PB,D,20080204,000000,2.59165,2.62142,2.58414,2.61391,0,0
WAS_PB,D,20080205,000000,2.56189,2.56189,2.44274,2.52462,0,0
WAS_PB,D,20080206,000000,2.43532,2.53954,2.43532,2.53954,0,0
