<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS_PE,D,20070813,000000,19.4234,19.4234,19.4234,19.4234,0,0
WAS_PE,D,20070814,000000,19.5636,19.5636,19.5636,19.5636,0,0
WAS_PE,D,20070816,000000,15.6399,15.6399,15.6399,15.6399,0,0
WAS_PE,D,20070817,000000,16.436,16.436,16.436,16.436,0,0
WAS_PE,D,20070820,000000,17.2412,17.2412,17.2412,17.2412,0,0
WAS_PE,D,20070821,000000,16.5111,16.5111,16.5111,16.5111,0,0
WAS_PE,D,20070822,000000,18.0364,18.0364,18.0364,18.0364,0,0
WAS_PE,D,20070823,000000,18.8344,18.8344,18.8344,18.8344,0,0
WAS_PE,D,20070824,000000,20.6583,20.6583,20.6583,20.6583,0,0
WAS_PE,D,20070827,000000,20.7994,20.7994,20.7994,20.7994,0,0
WAS_PE,D,20070828,000000,20.6583,20.6583,20.6583,20.6583,0,0
WAS_PE,D,20070829,000000,20.1435,20.1435,20.1435,20.1435,0,0
WAS_PE,D,20070830,000000,18.0364,18.0364,18.0364,18.0364,0,0
WAS_PE,D,20070831,000000,17.9622,17.9622,17.9622,17.9622,0,0
WAS_PE,D,20070903,000000,18.1124,18.1124,18.1124,18.1124,0,0
WAS_PE,D,20070904,000000,18.1866,18.1866,18.1866,18.1866,0,0
WAS_PE,D,20070905,000000,17.5977,17.5977,17.5977,17.5977,0,0
WAS_PE,D,20070906,000000,17.7469,17.7469,17.7469,17.7469,0,0
WAS_PE,D,20070907,000000,17.0168,17.0168,17.0168,17.0168,0,0
WAS_PE,D,20070910,000000,17.3072,17.3072,17.3072,17.3072,0,0
WAS_PE,D,20070911,000000,17.4565,17.4565,17.4565,17.4565,0,0
WAS_PE,D,20070912,000000,17.4565,17.4565,17.4565,17.4565,0,0
WAS_PE,D,20070913,000000,17.3814,17.3814,17.3814,17.3814,0,0
WAS_PE,D,20070914,000000,17.3072,17.3072,17.3072,17.3072,0,0
WAS_PE,D,20070917,000000,17.3072,17.3072,17.3072,17.3072,0,0
WAS_PE,D,20070918,000000,17.2412,17.2412,17.2412,17.2412,0,0
WAS_PE,D,20070919,000000,17.7469,17.7469,17.7469,17.7469,0,0
WAS_PE,D,20070920,000000,17.4565,17.4565,17.4565,17.4565,0,0
WAS_PE,D,20070921,000000,17.5977,17.5977,17.5977,17.5977,0,0
WAS_PE,D,20070924,000000,17.4565,17.4565,17.4565,17.4565,0,0
WAS_PE,D,20070925,000000,17.4565,17.4565,17.4565,17.4565,0,0
WAS_PE,D,20070926,000000,17.7469,17.7469,17.7469,17.7469,0,0
WAS_PE,D,20070927,000000,17.822,17.822,17.822,17.822,0,0
WAS_PE,D,20070928,000000,17.091,17.091,17.091,17.091,0,0
WAS_PE,D,20071001,000000,17.091,17.091,17.091,17.091,0,0
WAS_PE,D,20071002,000000,19.5636,19.5636,19.5636,19.5636,0,0
WAS_PE,D,20071003,000000,21.6716,21.6716,21.6716,21.6716,0,0
WAS_PE,D,20071004,000000,22.1112,22.1112,22.1112,22.1112,0,0
WAS_PE,D,20071005,000000,22.1854,22.1854,22.1854,22.1854,0,0
WAS_PE,D,20071008,000000,21.3802,21.3802,21.3802,21.3802,0,0
