<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK_PE,D,20080303,000000,427.898,427.898,427.898,427.898,0,0
WIK_PE,D,20080304,000000,491.466,491.466,427.898,427.898,0,0
WIK_PE,D,20080305,000000,462.496,491.466,402.749,402.749,0,0
WIK_PE,D,20080306,000000,462.496,462.496,377.511,377.511,0,0
WIK_PE,D,20080307,000000,433.616,462.496,377.511,377.511,0,0
WIK_PE,D,20080310,000000,433.616,433.616,377.511,377.511,0,0
WIK_PE,D,20080311,000000,433.616,433.616,377.511,377.511,0,0
WIK_PE,D,20080312,000000,433.616,462.496,377.511,377.511,0,0
WIK_PE,D,20080313,000000,433.616,433.616,377.511,377.511,0,0
WIK_PE,D,20080314,000000,433.616,433.616,377.511,377.511,0,0
WIK_PE,D,20080317,000000,404.735,404.735,327.206,327.206,0,0
WIK_PE,D,20080318,000000,375.775,404.735,327.206,327.206,0,0
WIK_PE,D,20080319,000000,375.775,375.775,327.206,327.206,0,0
WIK_PE,D,20080320,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080325,000000,375.775,375.775,327.206,327.206,0,0
WIK_PE,D,20080326,000000,375.775,375.775,327.206,327.206,0,0
WIK_PE,D,20080327,000000,375.775,404.735,327.206,327.206,0,0
WIK_PE,D,20080328,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080331,000000,352.363,352.363,352.363,352.363,0,0
WIK_PE,D,20080401,000000,375.775,404.735,352.363,352.363,0,0
WIK_PE,D,20080402,000000,404.735,433.616,352.363,352.363,0,0
WIK_PE,D,20080403,000000,404.735,433.616,352.363,352.363,0,0
WIK_PE,D,20080404,000000,404.735,433.616,352.363,352.363,0,0
WIK_PE,D,20080407,000000,433.616,433.616,377.511,377.511,0,0
WIK_PE,D,20080408,000000,404.735,433.616,352.363,352.363,0,0
WIK_PE,D,20080409,000000,404.735,433.616,377.511,377.511,0,0
WIK_PE,D,20080410,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080411,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080414,000000,375.775,404.735,327.206,327.206,0,0
WIK_PE,D,20080415,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080416,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080417,000000,404.735,404.735,352.363,352.363,0,0
WIK_PE,D,20080418,000000,404.735,404.735,327.206,327.206,0,0
WIK_PE,D,20080421,000000,375.775,375.775,327.206,327.206,0,0
WIK_PE,D,20080422,000000,375.775,375.775,302.057,302.057,0,0
WIK_PE,D,20080423,000000,346.894,346.894,302.057,302.057,0,0
WIK_PE,D,20080424,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080425,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080428,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080429,000000,375.775,375.775,327.206,327.206,0,0
WIK_PE,D,20080430,000000,346.894,375.775,302.057,302.057,0,0
WIK_PE,D,20080505,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080506,000000,346.894,375.775,302.057,302.057,0,0
WIK_PE,D,20080507,000000,346.894,375.775,302.057,302.057,0,0
WIK_PE,D,20080508,000000,346.894,375.775,327.206,327.206,0,0
WIK_PE,D,20080509,000000,346.894,375.775,318.014,327.206,0,0
WIK_PE,D,20080512,000000,346.894,375.775,302.057,302.057,0,0
WIK_PE,D,20080513,000000,346.894,346.894,302.057,302.057,0,0
WIK_PE,D,20080514,000000,318.014,346.894,302.057,302.057,0,0
WIK_PE,D,20080515,000000,346.894,346.894,302.057,302.057,0,0
WIK_PE,D,20080516,000000,346.894,346.894,123.057,123.057,0,0
