<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTN_PB,D,20151109,000000,3.00948,3.00948,3.00948,3.00948,0,0
WTN_PB,D,20151110,000000,3.00948,3.13274,2.89917,2.91868,0,0
WTN_PB,D,20151112,000000,3.06787,3.06787,2.91868,2.95764,0,0
WTN_PB,D,20151113,000000,2.98355,2.98355,2.95108,2.96411,0,0
WTN_PB,D,20151116,000000,2.96411,2.96411,2.93172,2.93172,0,0
WTN_PB,D,20151117,000000,2.96411,2.96411,2.93172,2.93172,0,0
WTN_PB,D,20151118,000000,2.96411,2.96411,2.90564,2.91868,0,0
WTN_PB,D,20151119,000000,2.90564,2.93172,2.90564,2.93172,0,0
WTN_PB,D,20151120,000000,2.96411,2.96411,2.93172,2.93172,0,0
WTN_PB,D,20151123,000000,2.93172,2.93172,2.81493,2.81493,0,0
WTN_PB,D,20151124,000000,2.89917,2.89917,2.89917,2.89917,0,0
WTN_PB,D,20151125,000000,2.86685,2.86685,2.86685,2.86685,0,0
WTN_PB,D,20151126,000000,2.89917,2.89917,2.89917,2.89917,0,0
WTN_PB,D,20151127,000000,2.89917,2.89917,2.89917,2.89917,0,0
WTN_PB,D,20151130,000000,2.86685,2.95764,2.86685,2.95764,0,0
WTN_PB,D,20151201,000000,2.82789,3.13274,2.67871,3.13274,0,0
WTN_PB,D,20151202,000000,3.13274,3.13274,3.08731,3.08731,0,0
WTN_PB,D,20151203,000000,2.91868,2.9446,2.91868,2.9446,0,0
WTN_PB,D,20151204,000000,2.91868,3.08731,2.7371,3.08731,0,0
WTN_PB,D,20151207,000000,3.10026,3.10026,2.91868,2.91868,0,0
WTN_PB,D,20151208,000000,2.95108,3.1197,2.95108,3.08731,0,0
WTN_PB,D,20151209,000000,2.92508,3.08731,2.92508,3.08731,0,0
WTN_PB,D,20151210,000000,3.08731,3.08731,3.08731,3.08731,0,0
WTN_PB,D,20151211,000000,3.08731,3.08731,3.08731,3.08731,0,0
WTN_PB,D,20151214,000000,3.08731,3.08731,2.90564,2.90564,0,0
WTN_PB,D,20151215,000000,2.80197,2.95764,2.80197,2.88621,0,0
WTN_PB,D,20151216,000000,2.87973,2.96411,2.81493,2.88621,0,0
WTN_PB,D,20151217,000000,2.81493,2.89277,2.80197,2.81493,0,0
WTN_PB,D,20151218,000000,2.74358,2.81493,2.74358,2.78902,0,0
WTN_PB,D,20151221,000000,2.74358,2.74358,2.72414,2.72414,0,0
WTN_PB,D,20151222,000000,2.75646,2.75646,2.72414,2.72414,0,0
WTN_PB,D,20151223,000000,2.63327,2.74358,2.63327,2.71766,0,0
WTN_PB,D,20151228,000000,2.71766,2.89277,2.71766,2.89277,0,0
WTN_PB,D,20151229,000000,2.82133,2.82133,2.73054,2.81493,0,0
WTN_PB,D,20151230,000000,2.81493,3.08731,2.81493,3.08731,0,0
WTN_PB,D,20160104,000000,3.08731,3.08731,2.99651,2.99651,0,0
WTN_PB,D,20160105,000000,2.82133,3.08731,2.82133,2.90564,0,0
WTN_PB,D,20160107,000000,2.91868,2.93812,2.90564,2.90564,0,0
WTN_PB,D,20160108,000000,2.91868,2.91868,2.72414,2.82133,0,0
WTN_PB,D,20160111,000000,2.73054,2.89277,2.73054,2.89277,0,0
WTN_PB,D,20160113,000000,2.7371,2.7371,2.72414,2.73054,0,0
WTN_PB,D,20160114,000000,2.74358,2.74358,2.72414,2.73054,0,0
WTN_PB,D,20160115,000000,2.69166,2.84085,2.63327,2.63327,0,0
WTN_PB,D,20160118,000000,2.64623,2.64623,2.64623,2.64623,0,0
WTN_PB,D,20160119,000000,2.72414,2.78246,2.65279,2.65279,0,0
WTN_PB,D,20160120,000000,2.60088,2.62679,2.54248,2.62679,0,0
WTN_PB,D,20160121,000000,2.55544,2.63327,2.54904,2.63327,0,0
