<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTN_PE,D,20151109,000000,7.0702,7.0702,7.0702,7.0702,0,0
WTN_PE,D,20151110,000000,6.87511,7.13452,6.61585,6.87511,0,0
WTN_PE,D,20151112,000000,7.19956,7.19956,6.87511,6.94014,0,0
WTN_PE,D,20151113,000000,7.00438,7.00438,6.94014,7.00438,0,0
WTN_PE,D,20151116,000000,7.00438,7.00438,6.87511,6.87511,0,0
WTN_PE,D,20151117,000000,6.94014,6.94014,6.87511,6.87511,0,0
WTN_PE,D,20151118,000000,6.94014,6.94014,6.81007,6.87511,0,0
WTN_PE,D,20151119,000000,6.87511,6.94014,6.87511,6.87511,0,0
WTN_PE,D,20151120,000000,6.94014,6.94014,6.87511,6.87511,0,0
WTN_PE,D,20151123,000000,6.87511,6.87511,6.61585,6.61585,0,0
WTN_PE,D,20151124,000000,6.81007,6.81007,6.81007,6.81007,0,0
WTN_PE,D,20151125,000000,6.74504,6.74504,6.74504,6.74504,0,0
WTN_PE,D,20151126,000000,6.81007,6.81007,6.81007,6.81007,0,0
WTN_PE,D,20151127,000000,6.81007,6.81007,6.81007,6.81007,0,0
WTN_PE,D,20151130,000000,6.74504,6.94014,6.74504,6.94014,0,0
WTN_PE,D,20151201,000000,6.61585,7.39386,6.29132,7.39386,0,0
WTN_PE,D,20151202,000000,7.39386,7.39386,7.2638,7.2638,0,0
WTN_PE,D,20151203,000000,6.87511,6.94014,6.87511,6.94014,0,0
WTN_PE,D,20151204,000000,6.87511,7.2638,6.42115,7.2638,0,0
WTN_PE,D,20151207,000000,7.2638,7.2638,6.87511,6.87511,0,0
WTN_PE,D,20151208,000000,6.94014,7.32954,6.94014,7.2638,0,0
WTN_PE,D,20151209,000000,6.87511,7.2638,6.87511,7.2638,0,0
WTN_PE,D,20151210,000000,7.2638,7.2638,7.2638,7.2638,0,0
WTN_PE,D,20151211,000000,7.2638,7.2638,7.2638,7.2638,0,0
WTN_PE,D,20151214,000000,7.2638,7.2638,6.81007,6.87511,0,0
WTN_PE,D,20151215,000000,6.61585,7.00438,6.61585,6.81007,0,0
WTN_PE,D,20151216,000000,6.81007,7.00438,6.61585,6.81007,0,0
WTN_PE,D,20151217,000000,6.61585,6.81007,6.61585,6.61585,0,0
WTN_PE,D,20151218,000000,6.42115,6.61585,6.42115,6.55042,0,0
WTN_PE,D,20151221,000000,6.42115,6.42115,6.42115,6.42115,0,0
WTN_PE,D,20151222,000000,6.48578,6.48578,6.42115,6.42115,0,0
WTN_PE,D,20151223,000000,6.22645,6.48578,6.22645,6.42115,0,0
WTN_PE,D,20151228,000000,6.42115,6.81007,6.42115,6.81007,0,0
WTN_PE,D,20151229,000000,6.61585,6.61585,6.42115,6.61585,0,0
WTN_PE,D,20151230,000000,6.61585,7.2638,6.61585,7.2638,0,0
WTN_PE,D,20160104,000000,7.2638,7.2638,7.0702,7.0702,0,0
WTN_PE,D,20160105,000000,6.61585,7.2638,6.61585,6.87511,0,0
WTN_PE,D,20160107,000000,6.87511,6.94014,6.87511,6.87511,0,0
WTN_PE,D,20160108,000000,6.87511,6.87511,6.42115,6.61585,0,0
WTN_PE,D,20160111,000000,6.42115,6.81007,6.42115,6.81007,0,0
WTN_PE,D,20160113,000000,6.42115,6.42115,6.42115,6.42115,0,0
WTN_PE,D,20160114,000000,6.42115,6.48578,6.42115,6.42115,0,0
WTN_PE,D,20160115,000000,6.35619,6.68048,6.22645,6.22645,0,0
WTN_PE,D,20160118,000000,6.22645,6.22645,6.22645,6.22645,0,0
WTN_PE,D,20160119,000000,6.42115,6.55042,6.22645,6.22645,0,0
WTN_PE,D,20160120,000000,6.0967,6.16158,5.96696,6.16158,0,0
WTN_PE,D,20160121,000000,5.96696,6.22645,5.96696,6.22645,0,0
WTN_PE,D,20160122,000000,6.22645,6.22645,6.16158,6.16158,0,0
WTN_PE,D,20160125,000000,6.16158,6.16158,6.16158,6.16158,0,0
WTN_PE,D,20160126,000000,6.0967,6.0967,6.0967,6.0967,0,0
WTN_PE,D,20160127,000000,6.0967,6.16158,6.03183,6.03183,0,0
WTN_PE,D,20160128,000000,6.16158,6.16158,6.0967,6.16158,0,0
WTN_PE,D,20160129,000000,6.16158,6.16158,6.03183,6.03183,0,0
WTN_PE,D,20160201,000000,6.29132,6.42115,6.29132,6.42115,0,0
WTN_PE,D,20160202,000000,6.55042,6.55042,6.42115,6.42115,0,0
WTN_PE,D,20160203,000000,6.61585,6.61585,6.61585,6.61585,0,0
WTN_PE,D,20160204,000000,6.61585,6.61585,6.61585,6.61585,0,0
WTN_PE,D,20160208,000000,6.61585,6.61585,6.16158,6.22645,0,0
WTN_PE,D,20160209,000000,6.22645,6.22645,6.22645,6.22645,0,0
WTN_PE,D,20160210,000000,6.22645,6.29132,6.22645,6.29132,0,0
WTN_PE,D,20160215,000000,6.0967,6.42115,6.0967,6.29132,0,0
WTN_PE,D,20160218,000000,6.03183,6.16158,5.77241,5.77241,0,0
WTN_PE,D,20160219,000000,5.83729,5.96696,5.77241,5.96696,0,0
WTN_PE,D,20160222,000000,5.96696,5.96696,5.77241,5.77241,0,0
WTN_PE,D,20160223,000000,5.90216,5.90216,5.77241,5.83729,0,0
WTN_PE,D,20160224,000000,5.96696,6.03183,5.90216,5.96696,0,0
WTN_PE,D,20160225,000000,6.16158,6.35619,6.16158,6.35619,0,0
WTN_PE,D,20160226,000000,6.35619,6.35619,6.16158,6.22645,0,0
