<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL_MV,D,20070813,000000,343.601,343.601,343.601,343.601,0,0
WWL_MV,D,20070814,000000,343.601,343.601,343.601,343.601,0,0
WWL_MV,D,20070816,000000,308.738,308.738,308.738,308.738,0,0
WWL_MV,D,20070817,000000,322.097,322.097,322.097,322.097,0,0
WWL_MV,D,20070820,000000,323.671,323.671,323.671,323.671,0,0
WWL_MV,D,20070821,000000,323.671,323.671,323.671,323.671,0,0
WWL_MV,D,20070822,000000,326.681,326.681,326.681,326.681,0,0
WWL_MV,D,20070823,000000,336.646,336.646,336.646,336.646,0,0
WWL_MV,D,20070824,000000,328.265,328.265,328.265,328.265,0,0
WWL_MV,D,20070827,000000,306.545,306.545,306.545,306.545,0,0
WWL_MV,D,20070828,000000,303.771,303.771,303.771,303.771,0,0
WWL_MV,D,20070829,000000,307.765,307.765,307.765,307.765,0,0
WWL_MV,D,20070830,000000,276.876,276.876,276.876,276.876,0,0
WWL_MV,D,20070831,000000,278.873,278.873,278.873,278.873,0,0
WWL_MV,D,20070903,000000,298.793,298.793,298.793,298.793,0,0
WWL_MV,D,20070904,000000,298.793,298.793,298.793,298.793,0,0
WWL_MV,D,20070905,000000,296.796,296.796,296.796,296.796,0,0
WWL_MV,D,20070906,000000,296.796,296.796,296.796,296.796,0,0
WWL_MV,D,20070907,000000,289.33,289.33,289.33,289.33,0,0
WWL_MV,D,20070910,000000,282.847,282.847,282.847,282.847,0,0
WWL_MV,D,20070911,000000,282.847,282.847,282.847,282.847,0,0
WWL_MV,D,20070912,000000,282.847,282.847,282.847,282.847,0,0
WWL_MV,D,20070913,000000,278.873,278.873,278.873,278.873,0,0
WWL_MV,D,20070914,000000,278.873,278.873,278.873,278.873,0,0
WWL_MV,D,20070917,000000,276.374,276.374,276.374,276.374,0,0
WWL_MV,D,20070918,000000,273.885,273.885,273.885,273.885,0,0
WWL_MV,D,20070919,000000,278.873,278.873,278.873,278.873,0,0
WWL_MV,D,20070920,000000,273.885,273.885,273.885,273.885,0,0
WWL_MV,D,20070921,000000,274.781,274.781,274.781,274.781,0,0
WWL_MV,D,20070924,000000,274.889,274.889,274.889,274.889,0,0
WWL_MV,D,20070925,000000,265.426,265.426,265.426,265.426,0,0
WWL_MV,D,20070926,000000,275.292,275.292,275.292,275.292,0,0
WWL_MV,D,20070927,000000,268.898,268.898,268.898,268.898,0,0
WWL_MV,D,20070928,000000,275.292,275.292,275.292,275.292,0,0
WWL_MV,D,20071001,000000,267.904,267.904,267.904,267.904,0,0
WWL_MV,D,20071002,000000,258.953,258.953,258.953,258.953,0,0
WWL_MV,D,20071003,000000,251.978,251.978,251.978,251.978,0,0
WWL_MV,D,20071004,000000,254.467,254.467,254.467,254.467,0,0
WWL_MV,D,20071005,000000,255.962,255.962,255.962,255.962,0,0
WWL_MV,D,20071008,000000,259.936,259.936,259.936,259.936,0,0
WWL_MV,D,20071009,000000,249.096,249.096,249.096,249.096,0,0
WWL_MV,D,20071010,000000,249.981,249.981,249.981,249.981,0,0
WWL_MV,D,20071011,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20071012,000000,248.004,248.004,248.004,248.004,0,0
WWL_MV,D,20071015,000000,252.873,252.873,252.873,252.873,0,0
WWL_MV,D,20071016,000000,249.489,249.489,249.489,249.489,0,0
WWL_MV,D,20071017,000000,252.775,252.775,252.775,252.775,0,0
WWL_MV,D,20071018,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20071019,000000,252.48,252.48,252.48,252.48,0,0
WWL_MV,D,20071022,000000,250.985,250.985,250.985,250.985,0,0
WWL_MV,D,20071023,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20071024,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20071025,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20071026,000000,246.017,246.017,246.017,246.017,0,0
WWL_MV,D,20071029,000000,248.486,248.486,248.486,248.486,0,0
WWL_MV,D,20071030,000000,248.004,248.004,248.004,248.004,0,0
WWL_MV,D,20071031,000000,241.02,241.02,241.02,241.02,0,0
WWL_MV,D,20071102,000000,243.017,243.017,243.017,243.017,0,0
WWL_MV,D,20071105,000000,239.033,239.033,239.033,239.033,0,0
WWL_MV,D,20071106,000000,239.033,239.033,239.033,239.033,0,0
WWL_MV,D,20071107,000000,239.033,239.033,239.033,239.033,0,0
WWL_MV,D,20071108,000000,236.042,236.042,236.042,236.042,0,0
WWL_MV,D,20071109,000000,235.029,239.033,224.08,234.045,0,0
WWL_MV,D,20071112,000000,233.061,234.045,222.201,230.061,0,0
WWL_MV,D,20071113,000000,229.067,233.061,229.067,233.061,0,0
WWL_MV,D,20071114,000000,239.033,239.033,229.166,233.061,0,0
WWL_MV,D,20071115,000000,232.747,233.061,229.264,229.264,0,0
WWL_MV,D,20071116,000000,229.067,229.264,229.067,229.264,0,0
WWL_MV,D,20071119,000000,229.264,232.747,224.08,224.08,0,0
WWL_MV,D,20071121,000000,214.145,229.067,214.145,229.067,0,0
WWL_MV,D,20071122,000000,221.109,238.029,209.167,238.029,0,0
WWL_MV,D,20071123,000000,248.978,254.959,238.029,248.978,0,0
WWL_MV,D,20071126,000000,280.85,280.85,239.544,258.953,0,0
WWL_MV,D,20071127,000000,258.953,263.94,249.981,259.936,0,0
WWL_MV,D,20071128,000000,258.953,268.898,255.962,268.898,0,0
WWL_MV,D,20071129,000000,266.911,273.885,263.94,273.885,0,0
WWL_MV,D,20071130,000000,261.933,276.876,261.933,276.876,0,0
WWL_MV,D,20071203,000000,273.885,273.885,273.885,273.885,0,0
WWL_MV,D,20071204,000000,268.898,268.898,267.904,267.904,0,0
WWL_MV,D,20071205,000000,261.933,276.876,260.95,276.876,0,0
WWL_MV,D,20071206,000000,276.876,276.876,268.898,273.885,0,0
WWL_MV,D,20071207,000000,267.118,277.87,265.908,277.87,0,0
WWL_MV,D,20071210,000000,270.993,271.8,265.908,265.908,0,0
WWL_MV,D,20071211,000000,263.94,275.784,258.953,275.784,0,0
WWL_MV,D,20071212,000000,269.006,269.793,263.94,269.793,0,0
WWL_MV,D,20071213,000000,261.933,269.793,260.438,269.006,0,0
WWL_MV,D,20071214,000000,263.94,268.898,260.733,268.898,0,0
WWL_MV,D,20071217,000000,268.898,269.892,260.054,269.892,0,0
WWL_MV,D,20071218,000000,263.438,269.892,263.438,269.892,0,0
WWL_MV,D,20071219,000000,271.898,273.384,271.898,273.384,0,0
WWL_MV,D,20071220,000000,268.898,270.915,268.898,270.915,0,0
WWL_MV,D,20071221,000000,264.029,274.889,264.029,274.889,0,0
WWL_MV,D,20071227,000000,270.019,274.889,270.019,274.889,0,0
WWL_MV,D,20080102,000000,268.898,268.898,268.898,268.898,0,0
WWL_MV,D,20080103,000000,268.898,268.898,268.898,268.898,0,0
WWL_MV,D,20080104,000000,268.898,268.898,247.01,247.01,0,0
WWL_MV,D,20080108,000000,240.921,240.921,239.033,239.033,0,0
WWL_MV,D,20080109,000000,253.66,253.66,224.287,248.004,0,0
WWL_MV,D,20080110,000000,248.004,248.004,235.157,241.02,0,0
WWL_MV,D,20080111,000000,237.527,237.527,234.045,237.026,0,0
WWL_MV,D,20080114,000000,237.026,237.026,237.026,237.026,0,0
WWL_MV,D,20080115,000000,229.766,231.064,229.766,231.064,0,0
WWL_MV,D,20080116,000000,209.167,224.08,209.167,224.08,0,0
WWL_MV,D,20080117,000000,222.093,231.064,214.145,230.759,0,0
WWL_MV,D,20080118,000000,219.102,234.045,219.102,234.045,0,0
WWL_MV,D,20080121,000000,237.026,237.026,224.08,230.277,0,0
WWL_MV,D,20080122,000000,219.604,228.871,219.102,224.08,0,0
WWL_MV,D,20080123,000000,221.69,227.09,221.621,227.09,0,0
WWL_MV,D,20080124,000000,229.067,241.02,223.096,239.033,0,0
WWL_MV,D,20080125,000000,244,247.483,234.045,245.909,0,0
WWL_MV,D,20080128,000000,245.909,248.978,245.791,245.909,0,0
WWL_MV,D,20080129,000000,259.936,259.936,243.115,248.004,0,0
WWL_MV,D,20080130,000000,248.486,248.486,248.486,248.486,0,0
WWL_MV,D,20080131,000000,234.547,248.978,234.547,248.978,0,0
WWL_MV,D,20080201,000000,247.906,248.004,244,248.004,0,0
WWL_MV,D,20080204,000000,249.489,249.489,240.626,240.626,0,0
WWL_MV,D,20080205,000000,248.584,248.584,248.584,248.584,0,0
WWL_MV,D,20080206,000000,239.033,248.584,239.033,248.584,0,0
WWL_MV,D,20080207,000000,240.518,246.892,240.026,246.892,0,0
WWL_MV,D,20080208,000000,243.017,249.784,243.017,249.784,0,0
WWL_MV,D,20080211,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20080212,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20080213,000000,243.213,258.953,243.115,258.953,0,0
WWL_MV,D,20080214,000000,254.064,258.953,253.975,258.953,0,0
WWL_MV,D,20080215,000000,248.978,256.956,248.978,256.956,0,0
WWL_MV,D,20080218,000000,250.985,250.985,248.978,248.978,0,0
WWL_MV,D,20080219,000000,249.981,250.985,249.981,250.985,0,0
WWL_MV,D,20080221,000000,244,250.985,242.013,244,0,0
WWL_MV,D,20080222,000000,244,244,244,244,0,0
WWL_MV,D,20080225,000000,239.623,244,239.623,244,0,0
WWL_MV,D,20080226,000000,239.318,239.318,237.026,237.026,0,0
WWL_MV,D,20080227,000000,233.061,234.045,231.064,231.064,0,0
WWL_MV,D,20080228,000000,241.816,241.816,234.153,237.026,0,0
WWL_MV,D,20080229,000000,231.556,239.033,231.556,239.033,0,0
WWL_MV,D,20080303,000000,231.556,238.029,225.083,238.029,0,0
WWL_MV,D,20080304,000000,238.029,238.029,238.029,238.029,0,0
WWL_MV,D,20080305,000000,237.026,237.026,237.026,237.026,0,0
WWL_MV,D,20080306,000000,236.042,239.033,236.042,239.033,0,0
WWL_MV,D,20080310,000000,238.029,238.029,237.439,237.439,0,0
WWL_MV,D,20080311,000000,237.527,244,237.527,244,0,0
WWL_MV,D,20080312,000000,244,245.909,238.029,245.909,0,0
WWL_MV,D,20080313,000000,244,245.909,243.902,243.902,0,0
WWL_MV,D,20080314,000000,243.902,243.902,243.902,243.902,0,0
WWL_MV,D,20080317,000000,243.017,243.017,243.017,243.017,0,0
WWL_MV,D,20080318,000000,243.017,243.017,243.017,243.017,0,0
WWL_MV,D,20080319,000000,243.017,247.797,243.017,247.797,0,0
WWL_MV,D,20080320,000000,225.674,247.906,225.674,247.906,0,0
WWL_MV,D,20080325,000000,247.906,247.906,247.906,247.906,0,0
WWL_MV,D,20080326,000000,247.01,247.01,247.01,247.01,0,0
WWL_MV,D,20080327,000000,241.02,247.01,236.042,246.509,0,0
WWL_MV,D,20080328,000000,246.509,247.01,246.509,247.01,0,0
WWL_MV,D,20080331,000000,246.017,246.017,246.017,246.017,0,0
WWL_MV,D,20080401,000000,239.033,248.978,239.033,248.978,0,0
WWL_MV,D,20080402,000000,248.978,248.978,248.978,248.978,0,0
WWL_MV,D,20080404,000000,239.033,248.879,239.033,248.879,0,0
WWL_MV,D,20080407,000000,244,248.978,244,247.01,0,0
WWL_MV,D,20080409,000000,245.004,245.004,245.004,245.004,0,0
WWL_MV,D,20080410,000000,244,245.004,244,244,0,0
WWL_MV,D,20080411,000000,241.02,244.807,241.02,244.807,0,0
WWL_MV,D,20080414,000000,238.029,242.013,238.029,241.925,0,0
WWL_MV,D,20080415,000000,238.029,238.029,234.045,238.029,0,0
WWL_MV,D,20080416,000000,248.879,248.879,237.931,243.902,0,0
WWL_MV,D,20080418,000000,246.804,246.804,231.36,246.696,0,0
WWL_MV,D,20080421,000000,230.061,238.029,230.061,238.029,0,0
WWL_MV,D,20080422,000000,229.166,237.026,224.08,237.026,0,0
WWL_MV,D,20080423,000000,234.045,236.947,234.045,236.947,0,0
WWL_MV,D,20080424,000000,236.14,236.14,236.14,236.14,0,0
WWL_MV,D,20080425,000000,226.185,229.166,213.141,229.067,0,0
WWL_MV,D,20080428,000000,231.064,231.064,217.115,219.102,0,0
WWL_MV,D,20080430,000000,234.045,234.045,214.223,220.794,0,0
WWL_MV,D,20080505,000000,220.794,220.794,219.024,219.024,0,0
WWL_MV,D,20080506,000000,214.331,214.331,209.649,212.836,0,0
WWL_MV,D,20080507,000000,209.256,210.151,207.16,209.167,0,0
WWL_MV,D,20080508,000000,201.287,214.145,201.287,214.145,0,0
WWL_MV,D,20080509,000000,216.909,216.909,208.341,208.341,0,0
WWL_MV,D,20080512,000000,206.767,208.341,204.17,208.341,0,0
WWL_MV,D,20080513,000000,209.944,211.144,206.157,210.151,0,0
WWL_MV,D,20080514,000000,209.167,212.138,206.157,212.138,0,0
WWL_MV,D,20080515,000000,209.167,211.036,206.157,211.036,0,0
WWL_MV,D,20080516,000000,210.643,210.643,204.671,204.671,0,0
WWL_MV,D,20080519,000000,206.373,206.373,205.163,205.163,0,0
WWL_MV,D,20080520,000000,202.183,205.96,201.681,204.17,0,0
WWL_MV,D,20080521,000000,202.183,203.088,199.202,199.202,0,0
WWL_MV,D,20080523,000000,199.202,201.169,199.202,201.169,0,0
