<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL_PB,D,20070813,000000,2.39298,2.39298,2.39298,2.39298,0,0
WWL_PB,D,20070814,000000,2.39298,2.39298,2.39298,2.39298,0,0
WWL_PB,D,20070816,000000,2.1503,2.1503,2.1503,2.1503,0,0
WWL_PB,D,20070817,000000,2.24719,2.24719,2.24719,2.24719,0,0
WWL_PB,D,20070820,000000,2.25428,2.25428,2.25428,2.25428,0,0
WWL_PB,D,20070821,000000,2.25428,2.25428,2.25428,2.25428,0,0
WWL_PB,D,20070822,000000,2.27513,2.27513,2.27513,2.27513,0,0
WWL_PB,D,20070823,000000,2.34439,2.34439,2.34439,2.34439,0,0
WWL_PB,D,20070824,000000,2.28202,2.28202,2.28202,2.28202,0,0
WWL_PB,D,20070827,000000,2.12944,2.12944,2.12944,2.12944,0,0
WWL_PB,D,20070828,000000,2.11538,2.11538,2.11538,2.11538,0,0
WWL_PB,D,20070829,000000,2.14322,2.14322,2.14322,2.14322,0,0
WWL_PB,D,20070830,000000,1.92818,1.92818,1.92818,1.92818,0,0
WWL_PB,D,20070831,000000,1.94215,1.94215,1.94215,1.94215,0,0
WWL_PB,D,20070903,000000,2.08095,2.08095,2.08095,2.08095,0,0
WWL_PB,D,20070904,000000,2.08095,2.08095,2.08095,2.08095,0,0
WWL_PB,D,20070905,000000,2.06688,2.06688,2.06688,2.06688,0,0
WWL_PB,D,20070906,000000,2.06688,2.06688,2.06688,2.06688,0,0
WWL_PB,D,20070907,000000,2.0114,2.0114,2.0114,2.0114,0,0
WWL_PB,D,20070910,000000,1.96979,1.96979,1.96979,1.96979,0,0
WWL_PB,D,20070911,000000,1.96979,1.96979,1.96979,1.96979,0,0
WWL_PB,D,20070912,000000,1.96979,1.96979,1.96979,1.96979,0,0
WWL_PB,D,20070913,000000,1.94215,1.94215,1.94215,1.94215,0,0
WWL_PB,D,20070914,000000,1.94215,1.94215,1.94215,1.94215,0,0
WWL_PB,D,20070917,000000,1.92818,1.92818,1.92818,1.92818,0,0
WWL_PB,D,20070918,000000,1.90742,1.90742,1.90742,1.90742,0,0
WWL_PB,D,20070919,000000,1.94215,1.94215,1.94215,1.94215,0,0
WWL_PB,D,20070920,000000,1.90742,1.90742,1.90742,1.90742,0,0
WWL_PB,D,20070921,000000,1.91431,1.91431,1.91431,1.91431,0,0
WWL_PB,D,20070924,000000,1.91431,1.91431,1.91431,1.91431,0,0
WWL_PB,D,20070925,000000,1.84486,1.84486,1.84486,1.84486,0,0
WWL_PB,D,20070926,000000,1.92119,1.92119,1.92119,1.92119,0,0
WWL_PB,D,20070927,000000,1.87279,1.87279,1.87279,1.87279,0,0
WWL_PB,D,20070928,000000,1.92119,1.92119,1.92119,1.92119,0,0
WWL_PB,D,20071001,000000,1.86581,1.86581,1.86581,1.86581,0,0
WWL_PB,D,20071002,000000,1.80344,1.80344,1.80344,1.80344,0,0
WWL_PB,D,20071003,000000,1.75485,1.75485,1.75485,1.75485,0,0
WWL_PB,D,20071004,000000,1.7756,1.7756,1.7756,1.7756,0,0
WWL_PB,D,20071005,000000,1.78269,1.78269,1.78269,1.78269,0,0
WWL_PB,D,20071008,000000,1.81033,1.81033,1.81033,1.81033,0,0
WWL_PB,D,20071009,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071010,000000,1.74088,1.74088,1.74088,1.74088,0,0
WWL_PB,D,20071011,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071012,000000,1.7272,1.7272,1.7272,1.7272,0,0
WWL_PB,D,20071015,000000,1.76163,1.76163,1.76163,1.76163,0,0
WWL_PB,D,20071016,000000,1.74088,1.74088,1.74088,1.74088,0,0
WWL_PB,D,20071017,000000,1.76163,1.76163,1.76163,1.76163,0,0
WWL_PB,D,20071018,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071019,000000,1.76163,1.76163,1.76163,1.76163,0,0
WWL_PB,D,20071022,000000,1.74806,1.74806,1.74806,1.74806,0,0
WWL_PB,D,20071023,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071024,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071025,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071026,000000,1.71324,1.71324,1.71324,1.71324,0,0
WWL_PB,D,20071029,000000,1.73399,1.73399,1.73399,1.73399,0,0
WWL_PB,D,20071030,000000,1.7272,1.7272,1.7272,1.7272,0,0
WWL_PB,D,20071031,000000,1.67841,1.67841,1.67841,1.67841,0,0
WWL_PB,D,20071102,000000,1.69228,1.69228,1.69228,1.69228,0,0
WWL_PB,D,20071105,000000,1.60926,1.60926,1.60926,1.60926,0,0
WWL_PB,D,20071106,000000,1.60926,1.60926,1.60926,1.60926,0,0
WWL_PB,D,20071107,000000,1.60926,1.60926,1.60926,1.60926,0,0
WWL_PB,D,20071108,000000,1.5885,1.5885,1.5885,1.5885,0,0
WWL_PB,D,20071109,000000,1.58161,1.60926,1.50528,1.57453,0,0
WWL_PB,D,20071112,000000,1.56765,1.57453,1.49121,1.54679,0,0
WWL_PB,D,20071113,000000,1.53981,1.56765,1.53981,1.56765,0,0
WWL_PB,D,20071114,000000,1.60926,1.60926,1.53981,1.56765,0,0
WWL_PB,D,20071115,000000,1.56765,1.56765,1.53981,1.53981,0,0
WWL_PB,D,20071116,000000,1.53981,1.53981,1.53981,1.53981,0,0
WWL_PB,D,20071119,000000,1.53981,1.56765,1.50528,1.50528,0,0
WWL_PB,D,20071121,000000,1.44271,1.53981,1.44271,1.53981,0,0
WWL_PB,D,20071122,000000,1.48423,1.60217,1.40789,1.60217,0,0
WWL_PB,D,20071123,000000,1.67153,1.72012,1.60217,1.67153,0,0
WWL_PB,D,20071126,000000,1.89355,1.89355,1.61624,1.74806,0,0
WWL_PB,D,20071127,000000,1.74806,1.78269,1.67841,1.75485,0,0
WWL_PB,D,20071128,000000,1.74806,1.81033,1.7272,1.81033,0,0
WWL_PB,D,20071129,000000,1.79646,1.84486,1.78269,1.84486,0,0
WWL_PB,D,20071130,000000,1.76862,1.86581,1.76862,1.86581,0,0
WWL_PB,D,20071203,000000,1.84486,1.84486,1.84486,1.84486,0,0
WWL_PB,D,20071204,000000,1.81033,1.81033,1.80344,1.80344,0,0
WWL_PB,D,20071205,000000,1.76862,1.86581,1.76163,1.86581,0,0
WWL_PB,D,20071206,000000,1.86581,1.86581,1.81033,1.84486,0,0
WWL_PB,D,20071207,000000,1.79646,1.87279,1.78957,1.87279,0,0
WWL_PB,D,20071210,000000,1.8242,1.83118,1.78957,1.78957,0,0
WWL_PB,D,20071211,000000,1.78269,1.85892,1.74806,1.85892,0,0
WWL_PB,D,20071212,000000,1.81033,1.81731,1.78269,1.81731,0,0
WWL_PB,D,20071213,000000,1.76862,1.81731,1.75485,1.81033,0,0
WWL_PB,D,20071214,000000,1.78269,1.81033,1.75485,1.81033,0,0
WWL_PB,D,20071217,000000,1.81033,1.81731,1.75485,1.81731,0,0
WWL_PB,D,20071218,000000,1.7756,1.81731,1.7756,1.81731,0,0
WWL_PB,D,20071219,000000,1.83118,1.83817,1.83118,1.83817,0,0
WWL_PB,D,20071220,000000,1.81033,1.8242,1.81033,1.8242,0,0
WWL_PB,D,20071221,000000,1.78269,1.85194,1.78269,1.85194,0,0
WWL_PB,D,20071227,000000,1.81731,1.85194,1.81731,1.85194,0,0
WWL_PB,D,20080102,000000,1.81033,1.81033,1.81033,1.81033,0,0
WWL_PB,D,20080103,000000,1.81033,1.81033,1.81033,1.81033,0,0
WWL_PB,D,20080104,000000,1.81033,1.81033,1.65766,1.65766,0,0
WWL_PB,D,20080108,000000,1.62313,1.62313,1.60926,1.60926,0,0
WWL_PB,D,20080109,000000,1.70605,1.70605,1.50528,1.66464,0,0
WWL_PB,D,20080110,000000,1.66464,1.66464,1.58161,1.62313,0,0
WWL_PB,D,20080111,000000,1.60217,1.60217,1.57453,1.59529,0,0
WWL_PB,D,20080114,000000,1.59529,1.59529,1.59529,1.59529,0,0
WWL_PB,D,20080115,000000,1.54679,1.55368,1.54679,1.55368,0,0
WWL_PB,D,20080116,000000,1.40789,1.50528,1.40789,1.50528,0,0
WWL_PB,D,20080117,000000,1.49121,1.55368,1.44271,1.55368,0,0
WWL_PB,D,20080118,000000,1.47744,1.57453,1.47744,1.57453,0,0
WWL_PB,D,20080121,000000,1.59529,1.59529,1.50528,1.54679,0,0
