<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTB_PE,D,20160506,000000,7.31147,7.31147,7.31147,7.31147,0,0
XTB_PE,D,20160509,000000,7.61772,7.61772,7.24953,7.24953,0,0
XTB_PE,D,20160510,000000,7.24953,7.24953,7.12548,7.24953,0,0
XTB_PE,D,20160511,000000,7.1875,7.31147,7.12548,7.31147,0,0
XTB_PE,D,20160512,000000,7.31147,7.43314,7.31147,7.37191,0,0
XTB_PE,D,20160513,000000,7.43314,7.49446,7.37191,7.49446,0,0
XTB_PE,D,20160516,000000,7.49446,7.98548,7.43314,7.86266,0,0
XTB_PE,D,20160517,000000,7.86266,7.86266,7.86266,7.86266,0,0
XTB_PE,D,20160518,000000,7.86266,8.232,7.86266,8.232,0,0
XTB_PE,D,20160519,000000,8.04768,8.41649,7.98548,8.41649,0,0
XTB_PE,D,20160520,000000,8.41649,8.66178,8.35482,8.66178,0,0
XTB_PE,D,20160523,000000,8.66178,8.66178,8.29261,8.47737,0,0
XTB_PE,D,20160524,000000,8.41649,10.137,8.29261,10.137,0,0
XTB_PE,D,20160525,000000,10.137,10.6894,9.89086,10.6894,0,0
XTB_PE,D,20160527,000000,10.6894,10.6894,10.3205,10.6276,0,0
XTB_PE,D,20160530,000000,10.505,10.6894,10.3205,10.6276,0,0
XTB_PE,D,20160531,000000,10.6894,10.6894,10.3205,10.505,0,0
XTB_PE,D,20160601,000000,10.505,10.505,9.95174,10.2588,0,0
XTB_PE,D,20160602,000000,10.197,10.197,9.89086,9.95174,0,0
XTB_PE,D,20160603,000000,9.89086,10.0135,9.52116,10.0135,0,0
XTB_PE,D,20160606,000000,10.2588,10.2588,9.76733,10.0135,0,0
XTB_PE,D,20160607,000000,9.89086,10.0135,9.76733,10.0135,0,0
XTB_PE,D,20160608,000000,10.0135,10.0135,9.76733,9.76733,0,0
XTB_PE,D,20160609,000000,9.64557,9.82909,9.64557,9.76733,0,0
XTB_PE,D,20160610,000000,9.70645,9.82909,9.58204,9.82909,0,0
XTB_PE,D,20160613,000000,9.82909,9.82909,9.64557,9.76733,0,0
XTB_PE,D,20160614,000000,9.64557,9.76733,9.52116,9.76733,0,0
XTB_PE,D,20160615,000000,9.58204,9.70645,9.58204,9.70645,0,0
XTB_PE,D,20160616,000000,9.58204,9.64557,9.52116,9.64557,0,0
XTB_PE,D,20160617,000000,9.52116,9.76733,9.52116,9.76733,0,0
XTB_PE,D,20160620,000000,9.64557,9.82909,9.64557,9.82909,0,0
XTB_PE,D,20160621,000000,9.89086,9.95174,9.64557,9.89086,0,0
XTB_PE,D,20160622,000000,9.89086,10.0135,9.89086,10.0135,0,0
XTB_PE,D,20160623,000000,10.0135,10.137,9.89086,10.137,0,0
XTB_PE,D,20160624,000000,9.64557,10.3205,9.64557,10.2588,0,0
XTB_PE,D,20160627,000000,10.2588,10.6894,10.2588,10.6894,0,0
XTB_PE,D,20160628,000000,10.3814,10.9964,10.3814,10.6276,0,0
XTB_PE,D,20160629,000000,10.6276,10.6276,10.505,10.5667,0,0
XTB_PE,D,20160630,000000,10.6894,10.7511,10.3205,10.7511,0,0
XTB_PE,D,20160701,000000,10.6276,10.6894,10.5667,10.6894,0,0
XTB_PE,D,20160704,000000,10.6276,10.7511,10.3814,10.6894,0,0
XTB_PE,D,20160705,000000,10.505,10.5667,10.4432,10.505,0,0
XTB_PE,D,20160706,000000,10.4432,10.4432,10.197,10.3205,0,0
XTB_PE,D,20160707,000000,10.197,10.3814,10.197,10.3814,0,0
XTB_PE,D,20160708,000000,10.2588,10.505,10.2588,10.505,0,0
XTB_PE,D,20160711,000000,10.6894,10.6894,10.3814,10.5667,0,0
XTB_PE,D,20160712,000000,10.4432,10.5667,10.3205,10.5667,0,0
XTB_PE,D,20160713,000000,10.4432,10.6894,10.3205,10.505,0,0
XTB_PE,D,20160714,000000,10.5667,10.5667,10.3814,10.505,0,0
XTB_PE,D,20160715,000000,10.5667,10.5667,10.197,10.505,0,0
XTB_PE,D,20160718,000000,10.505,10.505,10.3205,10.505,0,0
XTB_PE,D,20160719,000000,10.505,10.505,10.0753,10.137,0,0
XTB_PE,D,20160720,000000,10.197,10.197,10.0753,10.0753,0,0
XTB_PE,D,20160721,000000,10.0753,10.3205,10.0135,10.3205,0,0
XTB_PE,D,20160722,000000,10.3205,10.3205,10.0753,10.2588,0,0
XTB_PE,D,20160725,000000,10.2588,10.2588,10.0753,10.197,0,0
XTB_PE,D,20160726,000000,10.197,10.3814,10.0135,10.3814,0,0
XTB_PE,D,20160727,000000,10.3814,10.3814,9.89086,10.0135,0,0
XTB_PE,D,20160728,000000,10.0135,10.137,9.76733,10.137,0,0
XTB_PE,D,20160729,000000,10.0753,10.0753,9.95174,10.0135,0,0
XTB_PE,D,20160801,000000,10.3205,10.3205,9.76733,9.95174,0,0
XTB_PE,D,20160802,000000,9.95174,9.95174,9.70645,9.89086,0,0
XTB_PE,D,20160803,000000,9.89086,9.89086,9.64557,9.82909,0,0
XTB_PE,D,20160804,000000,9.95174,9.95174,9.76733,9.82909,0,0
XTB_PE,D,20160805,000000,9.82909,9.82909,9.58204,9.64557,0,0
XTB_PE,D,20160808,000000,10.0135,10.0135,9.3994,9.52116,0,0
XTB_PE,D,20160809,000000,9.3994,9.70645,9.3994,9.64557,0,0
XTB_PE,D,20160810,000000,9.70645,9.70645,9.52116,9.64557,0,0
XTB_PE,D,20160811,000000,9.64557,9.76733,9.52116,9.58204,0,0
XTB_PE,D,20160812,000000,9.76733,9.76733,9.46117,9.58204,0,0
XTB_PE,D,20160816,000000,9.52116,9.64557,9.46117,9.52116,0,0
XTB_PE,D,20160817,000000,8.6009,8.6009,7.80125,8.04768,0,0
XTB_PE,D,20160818,000000,8.17138,8.17138,7.80125,7.92486,0,0
XTB_PE,D,20160819,000000,7.92486,8.04768,7.80125,7.98548,0,0
XTB_PE,D,20160822,000000,8.10909,8.17138,7.86266,8.17138,0,0
XTB_PE,D,20160823,000000,8.17138,8.17138,7.86266,7.98548,0,0
XTB_PE,D,20160824,000000,7.86266,8.10909,7.86266,8.10909,0,0
XTB_PE,D,20160825,000000,8.17138,8.35482,7.98548,8.29261,0,0
XTB_PE,D,20160826,000000,8.17138,9.21588,8.10909,9.21588,0,0
XTB_PE,D,20160829,000000,9.21588,9.21588,8.90795,9.03059,0,0
XTB_PE,D,20160830,000000,9.03059,9.09147,8.90795,9.09147,0,0
XTB_PE,D,20160831,000000,9.03059,9.03059,8.84707,8.90795,0,0
XTB_PE,D,20160901,000000,8.78442,8.90795,8.78442,8.90795,0,0
XTB_PE,D,20160902,000000,8.84707,8.90795,8.53914,8.6009,0,0
XTB_PE,D,20160905,000000,8.6009,8.6009,7.5557,7.5557,0,0
XTB_PE,D,20160906,000000,7.49446,7.49446,7.1875,7.31147,0,0
XTB_PE,D,20160907,000000,7.24953,7.80125,7.12548,7.80125,0,0
XTB_PE,D,20160908,000000,7.80125,7.80125,7.5557,7.67896,0,0
XTB_PE,D,20160909,000000,7.5557,7.98548,7.5557,7.98548,0,0
XTB_PE,D,20160912,000000,7.98548,8.04768,7.92486,8.04768,0,0
XTB_PE,D,20160913,000000,8.04768,8.04768,7.80125,8.04768,0,0
XTB_PE,D,20160914,000000,8.10909,8.29261,7.98548,8.29261,0,0
XTB_PE,D,20160915,000000,8.232,8.29261,8.17138,8.17138,0,0
XTB_PE,D,20160916,000000,7.92486,8.10909,7.92486,8.10909,0,0
XTB_PE,D,20160919,000000,8.29261,8.29261,7.80125,8.10909,0,0
XTB_PE,D,20160920,000000,8.10909,8.10909,7.80125,7.98548,0,0
XTB_PE,D,20160921,000000,8.232,8.232,7.80125,7.98548,0,0
XTB_PE,D,20160922,000000,7.98548,8.29261,7.98548,7.98548,0,0
XTB_PE,D,20160923,000000,7.80125,8.29261,7.80125,7.98548,0,0
XTB_PE,D,20160926,000000,7.86266,8.29261,7.86266,8.10909,0,0
XTB_PE,D,20160927,000000,7.86266,8.17138,7.86266,8.17138,0,0
XTB_PE,D,20160928,000000,8.232,8.29261,8.04768,8.29261,0,0
XTB_PE,D,20160929,000000,8.04768,8.232,8.04768,8.232,0,0
XTB_PE,D,20160930,000000,8.232,8.29261,8.04768,8.232,0,0
XTB_PE,D,20161003,000000,8.29261,8.29261,8.04768,8.04768,0,0
XTB_PE,D,20161004,000000,8.04768,8.04768,7.37191,7.67896,0,0
XTB_PE,D,20161005,000000,7.5557,7.86266,7.5557,7.80125,0,0
XTB_PE,D,20161006,000000,7.80125,7.80125,7.67896,7.67896,0,0
XTB_PE,D,20161007,000000,7.61772,7.86266,7.43314,7.43314,0,0
XTB_PE,D,20161010,000000,7.06424,7.5557,7.06424,7.5557,0,0
XTB_PE,D,20161011,000000,7.31147,7.49446,7.12548,7.12548,0,0
XTB_PE,D,20161012,000000,7.12548,7.43314,7.00301,7.12548,0,0
XTB_PE,D,20161013,000000,7.06424,7.31147,7.06424,7.31147,0,0
XTB_PE,D,20161014,000000,7.06424,7.5557,7.06424,7.24953,0,0
XTB_PE,D,20161017,000000,7.1875,7.1875,7.06424,7.1875,0,0
XTB_PE,D,20161018,000000,7.1875,7.49446,5.4675,5.59023,0,0
XTB_PE,D,20161019,000000,5.52882,5.77464,5.28318,5.4675,0,0
XTB_PE,D,20161020,000000,5.40609,5.83605,5.40609,5.71314,0,0
XTB_PE,D,20161021,000000,5.77464,5.77464,5.59023,5.77464,0,0
XTB_PE,D,20161024,000000,5.65173,6.38891,5.65173,5.95895,0,0
XTB_PE,D,20161025,000000,6.32741,6.32741,5.95895,6.266,0,0
XTB_PE,D,20161026,000000,6.32741,6.57288,6.266,6.38891,0,0
XTB_PE,D,20161027,000000,6.57288,6.57288,6.266,6.38891,0,0
XTB_PE,D,20161028,000000,6.45023,6.45023,6.266,6.38891,0,0
XTB_PE,D,20161031,000000,6.38891,6.45023,6.266,6.32741,0,0
XTB_PE,D,20161102,000000,6.57288,6.57288,6.266,6.38891,0,0
XTB_PE,D,20161103,000000,6.266,6.38891,6.08195,6.38891,0,0
XTB_PE,D,20161104,000000,6.45023,6.75737,6.32741,6.75737,0,0
XTB_PE,D,20161107,000000,6.75737,6.75737,6.45023,6.6349,0,0
XTB_PE,D,20161108,000000,6.38891,6.69614,6.38891,6.69614,0,0
XTB_PE,D,20161109,000000,6.38891,6.69614,6.38891,6.69614,0,0
XTB_PE,D,20161110,000000,6.69614,6.69614,6.38891,6.38891,0,0
XTB_PE,D,20161114,000000,6.32741,6.32741,6.20468,6.266,0,0
XTB_PE,D,20161115,000000,6.20468,6.6349,6.20468,6.57288,0,0
XTB_PE,D,20161116,000000,6.6349,13.024,6.14336,13.024,0,0
XTB_PE,D,20161117,000000,12.9005,13.0849,12.3481,12.3481,0,0
XTB_PE,D,20161118,000000,12.3481,13.3919,12.3481,13.0849,0,0
XTB_PE,D,20161121,000000,13.2693,13.2693,13.2693,13.2693,0,0
XTB_PE,D,20161122,000000,13.1466,13.2693,12.5934,13.1466,0,0
XTB_PE,D,20161123,000000,13.1466,13.1466,12.6552,13.1466,0,0
XTB_PE,D,20161124,000000,13.1466,13.331,12.7778,13.331,0,0
XTB_PE,D,20161125,000000,13.0849,13.5146,13.0849,13.5146,0,0
XTB_PE,D,20161128,000000,13.5146,13.5146,13.2693,13.5146,0,0
XTB_PE,D,20161129,000000,13.5146,14.1295,13.2075,14.1295,0,0
XTB_PE,D,20161130,000000,14.1295,14.1295,13.5763,13.9451,0,0
XTB_PE,D,20161201,000000,13.7616,14.8045,13.2075,13.2693,0,0
XTB_PE,D,20161202,000000,13.5763,14.006,13.5763,13.8225,0,0
XTB_PE,D,20161205,000000,13.4537,13.699,13.3919,13.699,0,0
XTB_PE,D,20161206,000000,13.3919,13.6381,12.8387,12.9005,0,0
XTB_PE,D,20161207,000000,12.9005,12.9005,12.102,12.2255,0,0
XTB_PE,D,20161208,000000,12.3481,12.3481,12.1637,12.2864,0,0
XTB_PE,D,20161209,000000,12.2255,12.2255,11.6723,11.8567,0,0
XTB_PE,D,20161212,000000,11.734,11.9176,11.487,11.487,0,0
XTB_PE,D,20161213,000000,11.6105,12.0402,11.5487,11.9176,0,0
XTB_PE,D,20161214,000000,11.5487,12.0402,11.487,11.487,0,0
XTB_PE,D,20161215,000000,11.5487,11.734,11.5487,11.5487,0,0
XTB_PE,D,20161216,000000,11.5487,11.5487,11.5487,11.5487,0,0
XTB_PE,D,20161219,000000,11.5487,11.5487,11.1199,11.1808,0,0
XTB_PE,D,20161220,000000,11.3652,11.7949,11.2426,11.7949,0,0
XTB_PE,D,20161221,000000,11.6723,11.9793,11.6723,11.9793,0,0
XTB_PE,D,20161222,000000,11.8567,11.8567,11.6723,11.6723,0,0
XTB_PE,D,20161223,000000,11.6723,11.6723,11.487,11.5487,0,0
XTB_PE,D,20161227,000000,11.5487,11.5487,11.3652,11.427,0,0
XTB_PE,D,20161228,000000,11.427,11.427,11.1199,11.1199,0,0
XTB_PE,D,20161229,000000,11.1199,11.427,11.1199,11.3652,0,0
XTB_PE,D,20161230,000000,11.487,11.487,11.2426,11.487,0,0
XTB_PE,D,20170102,000000,11.2426,11.8567,11.2426,11.8567,0,0
XTB_PE,D,20170103,000000,11.8567,11.8567,11.5487,11.7949,0,0
XTB_PE,D,20170104,000000,11.5487,11.7949,11.487,11.6723,0,0
XTB_PE,D,20170105,000000,11.6723,11.8567,11.6723,11.8567,0,0
XTB_PE,D,20170109,000000,11.8567,12.2864,11.8567,12.1637,0,0
XTB_PE,D,20170110,000000,12.1637,12.1637,11.734,11.9176,0,0
XTB_PE,D,20170111,000000,12.0402,12.3481,12.0402,12.2864,0,0
XTB_PE,D,20170112,000000,12.2255,13.5146,12.2255,13.5146,0,0
XTB_PE,D,20170113,000000,13.5146,13.5146,12.7161,12.9631,0,0
XTB_PE,D,20170116,000000,13.024,13.024,12.0402,12.7161,0,0
XTB_PE,D,20170117,000000,12.7161,13.1466,12.2255,13.1466,0,0
XTB_PE,D,20170118,000000,13.1466,13.2075,12.5934,13.1466,0,0
XTB_PE,D,20170119,000000,13.2075,13.2075,12.8387,12.8387,0,0
XTB_PE,D,20170120,000000,12.8387,12.8387,12.5325,12.5325,0,0
XTB_PE,D,20170123,000000,13.024,13.024,12.409,12.409,0,0
XTB_PE,D,20170124,000000,12.409,14.1295,12.409,13.8225,0,0
XTB_PE,D,20170125,000000,14.1295,14.3748,13.5763,14.3139,0,0
XTB_PE,D,20170126,000000,15.6039,16.4024,15.296,15.3577,0,0
XTB_PE,D,20170127,000000,15.3577,15.3577,14.8663,15.1116,0,0
XTB_PE,D,20170130,000000,15.2351,15.8492,15.0516,15.7257,0,0
XTB_PE,D,20170131,000000,15.7892,15.8492,15.4813,15.8492,0,0
XTB_PE,D,20170201,000000,15.3577,15.7257,15.2351,15.7257,0,0
XTB_PE,D,20170202,000000,15.6039,16.1562,15.6039,15.8492,0,0
XTB_PE,D,20170203,000000,15.9101,16.0945,15.6648,15.6648,0,0
XTB_PE,D,20170206,000000,15.6648,16.0336,15.3577,15.3577,0,0
XTB_PE,D,20170207,000000,15.4813,15.4813,15.1116,15.1116,0,0
XTB_PE,D,20170208,000000,14.928,15.2351,14.928,15.2351,0,0
XTB_PE,D,20170209,000000,15.1116,15.296,15.0516,15.1116,0,0
XTB_PE,D,20170210,000000,15.1116,15.1742,15.1116,15.1116,0,0
XTB_PE,D,20170213,000000,15.1116,15.9101,15.1116,15.9101,0,0
XTB_PE,D,20170214,000000,15.3577,15.6648,14.4984,14.8045,0,0
XTB_PE,D,20170215,000000,15.0516,15.0516,14.006,14.4984,0,0
XTB_PE,D,20170216,000000,14.4984,14.8045,14.4984,14.8045,0,0
XTB_PE,D,20170217,000000,14.7445,14.7445,14.6819,14.7445,0,0
XTB_PE,D,20170220,000000,14.7445,14.7445,14.7445,14.7445,0,0
XTB_PE,D,20170222,000000,14.1295,14.8045,14.0678,14.8045,0,0
XTB_PE,D,20170223,000000,14.3139,15.6648,14.0678,15.6648,0,0
XTB_PE,D,20170224,000000,15.543,15.543,15.4186,15.4186,0,0
XTB_PE,D,20170227,000000,14.3748,15.6648,14.3748,15.6648,0,0
XTB_PE,D,20170228,000000,15.4813,15.9101,15.4813,15.8492,0,0
XTB_PE,D,20170301,000000,15.7892,15.9101,14.928,15.7892,0,0
XTB_PE,D,20170302,000000,15.6648,15.6648,15.296,15.296,0,0
XTB_PE,D,20170303,000000,15.0516,15.1116,14.9898,14.9898,0,0
XTB_PE,D,20170306,000000,14.8663,14.9898,14.6819,14.928,0,0
XTB_PE,D,20170307,000000,15.4186,15.4186,14.6201,14.6819,0,0
XTB_PE,D,20170309,000000,14.6819,14.8045,14.6819,14.8045,0,0
XTB_PE,D,20170310,000000,14.5592,14.5592,14.5592,14.5592,0,0
XTB_PE,D,20170313,000000,15.296,15.296,14.5592,14.5592,0,0
XTB_PE,D,20170314,000000,14.6201,14.8045,14.4984,14.6819,0,0
XTB_PE,D,20170315,000000,14.8663,14.8663,14.8045,14.8045,0,0
XTB_PE,D,20170316,000000,14.6201,14.6819,14.6201,14.6819,0,0
XTB_PE,D,20170317,000000,14.8045,14.9898,14.6819,14.9898,0,0
XTB_PE,D,20170320,000000,15.2351,15.6648,8.6009,8.6009,0,0
XTB_PE,D,20170321,000000,8.41649,8.6009,8.41649,8.41649,0,0
XTB_PE,D,20170322,000000,8.66178,8.66178,8.6009,8.6009,0,0
XTB_PE,D,20170323,000000,8.6009,8.72354,8.29261,8.53914,0,0
XTB_PE,D,20170324,000000,8.53914,8.53914,8.35482,8.53914,0,0
XTB_PE,D,20170327,000000,8.35482,8.53914,8.35482,8.53914,0,0
XTB_PE,D,20170328,000000,8.53914,8.53914,8.53914,8.53914,0,0
XTB_PE,D,20170329,000000,8.53914,8.53914,8.53914,8.53914,0,0
XTB_PE,D,20170330,000000,8.53914,8.53914,8.53914,8.53914,0,0
XTB_PE,D,20170331,000000,8.53914,8.72354,8.41649,8.53914,0,0
XTB_PE,D,20170403,000000,8.53914,8.53914,8.53914,8.53914,0,0
XTB_PE,D,20170404,000000,8.47737,8.47737,8.35482,8.35482,0,0
XTB_PE,D,20170405,000000,8.232,8.35482,7.92486,8.35482,0,0
XTB_PE,D,20170406,000000,8.17138,8.17138,8.10909,8.10909,0,0
XTB_PE,D,20170407,000000,8.10909,8.10909,8.10909,8.10909,0,0
XTB_PE,D,20170410,000000,7.92486,7.98548,7.92486,7.92486,0,0
XTB_PE,D,20170411,000000,8.35482,8.35482,7.98548,7.98548,0,0
XTB_PE,D,20170412,000000,8.04768,8.04768,7.86266,7.92486,0,0
XTB_PE,D,20170413,000000,7.92486,7.92486,7.80125,7.80125,0,0
XTB_PE,D,20170418,000000,7.92486,7.92486,7.80125,7.80125,0,0
XTB_PE,D,20170419,000000,7.80125,7.80125,7.67896,7.67896,0,0
XTB_PE,D,20170420,000000,7.61772,7.61772,7.49446,7.49446,0,0
XTB_PE,D,20170421,000000,7.49446,7.67896,7.37191,7.37191,0,0
XTB_PE,D,20170424,000000,7.49446,7.80125,7.49446,7.80125,0,0
XTB_PE,D,20170425,000000,7.80125,7.80125,7.67896,7.67896,0,0
XTB_PE,D,20170426,000000,7.67896,7.67896,7.61772,7.61772,0,0
XTB_PE,D,20170427,000000,7.61772,7.61772,7.24953,7.31147,0,0
XTB_PE,D,20170428,000000,7.24953,7.37191,7.1875,7.1875,0,0
XTB_PE,D,20170502,000000,7.49446,7.61772,7.43314,7.61772,0,0
XTB_PE,D,20170504,000000,7.54317,7.54317,6.7759,7.35126,0,0
XTB_PE,D,20170505,000000,7.35126,7.35126,7.22438,7.22438,0,0
XTB_PE,D,20170508,000000,7.16024,7.16024,7.03186,7.16024,0,0
XTB_PE,D,20170509,000000,7.16024,7.16024,6.96789,7.03186,0,0
XTB_PE,D,20170511,000000,7.03186,7.03186,6.83996,6.90392,0,0
XTB_PE,D,20170512,000000,6.83996,7.16024,6.83996,7.16024,0,0
XTB_PE,D,20170515,000000,6.90392,9.46117,6.7759,9.46117,0,0
XTB_PE,D,20170516,000000,9.33235,9.39764,9.26882,9.26882,0,0
XTB_PE,D,20170517,000000,9.26882,9.26882,8.75795,9.01383,0,0
XTB_PE,D,20170518,000000,8.88589,9.01383,8.8206,9.01383,0,0
XTB_PE,D,20170519,000000,8.88589,9.01383,8.75795,8.88589,0,0
XTB_PE,D,20170522,000000,8.8206,9.26882,8.8206,8.88589,0,0
XTB_PE,D,20170523,000000,8.8206,9.14176,8.8206,9.01383,0,0
XTB_PE,D,20170524,000000,9.33235,9.33235,8.8206,9.07824,0,0
XTB_PE,D,20170525,000000,9.07824,9.07824,8.8206,9.01383,0,0
XTB_PE,D,20170526,000000,9.07824,9.07824,9.07824,9.07824,0,0
XTB_PE,D,20170529,000000,9.26882,9.52469,9.20529,9.20529,0,0
XTB_PE,D,20170530,000000,9.14176,9.26882,9.01383,9.26882,0,0
XTB_PE,D,20170531,000000,8.8206,9.26882,8.8206,9.26882,0,0
XTB_PE,D,20170601,000000,8.88589,8.88589,8.88589,8.88589,0,0
XTB_PE,D,20170602,000000,8.88589,8.9503,8.8206,8.88589,0,0
XTB_PE,D,20170605,000000,8.88589,8.88589,8.88589,8.88589,0,0
XTB_PE,D,20170606,000000,9.14176,9.14176,9.14176,9.14176,0,0
XTB_PE,D,20170607,000000,9.14176,9.14176,8.88589,8.88589,0,0
XTB_PE,D,20170608,000000,8.88589,9.01383,8.88589,9.01383,0,0
XTB_PE,D,20170609,000000,8.8206,9.14176,8.8206,9.14176,0,0
XTB_PE,D,20170612,000000,8.88589,9.01383,8.88589,8.88589,0,0
XTB_PE,D,20170613,000000,8.8206,9.01383,8.75795,8.75795,0,0
XTB_PE,D,20170614,000000,9.07824,9.07824,8.69354,8.9503,0,0
XTB_PE,D,20170616,000000,9.07824,9.07824,9.01383,9.07824,0,0
XTB_PE,D,20170619,000000,8.75795,8.75795,8.69354,8.69354,0,0
XTB_PE,D,20170620,000000,8.69354,9.07824,8.69354,9.01383,0,0
XTB_PE,D,20170621,000000,9.01383,9.01383,8.69354,8.69354,0,0
XTB_PE,D,20170622,000000,9.01383,9.01383,8.69354,8.69354,0,0
XTB_PE,D,20170626,000000,8.69354,8.69354,8.6309,8.6309,0,0
XTB_PE,D,20170627,000000,8.56649,9.07824,8.56649,9.07824,0,0
XTB_PE,D,20170628,000000,9.07824,9.26882,8.69354,8.75795,0,0
XTB_PE,D,20170629,000000,9.01383,9.01383,8.69354,8.75795,0,0
XTB_PE,D,20170630,000000,8.6309,9.26882,8.6309,9.26882,0,0
XTB_PE,D,20170703,000000,9.26882,9.26882,9.14176,9.14176,0,0
XTB_PE,D,20170704,000000,9.14176,9.26882,9.14176,9.26882,0,0
XTB_PE,D,20170705,000000,9.33235,9.33235,9.20529,9.26882,0,0
XTB_PE,D,20170706,000000,9.14176,9.78057,9.14176,9.5891,0,0
XTB_PE,D,20170707,000000,9.71616,9.71616,9.46117,9.65351,0,0
XTB_PE,D,20170710,000000,9.78057,9.78057,9.07824,9.39764,0,0
XTB_PE,D,20170711,000000,9.65351,9.65351,9.07824,9.39764,0,0
XTB_PE,D,20170712,000000,9.5891,9.5891,9.01383,9.46117,0,0
XTB_PE,D,20170713,000000,9.14176,9.14176,8.24673,8.43855,0,0
XTB_PE,D,20170714,000000,8.37361,8.37361,8.18285,8.24673,0,0
XTB_PE,D,20170717,000000,8.05509,8.05509,7.86266,7.99042,0,0
XTB_PE,D,20170718,000000,7.99042,8.11977,7.99042,8.11977,0,0
XTB_PE,D,20170719,000000,8.24673,8.24673,7.86266,7.86266,0,0
XTB_PE,D,20170720,000000,8.11977,8.11977,7.86266,7.86266,0,0
XTB_PE,D,20170721,000000,7.86266,7.86266,7.0968,7.67155,0,0
XTB_PE,D,20170724,000000,7.67155,7.67155,6.64858,7.22438,0,0
XTB_PE,D,20170725,000000,7.22438,7.28712,6.83996,6.90392,0,0
XTB_PE,D,20170726,000000,7.16024,7.35126,6.83996,7.22438,0,0
XTB_PE,D,20170727,000000,7.86266,7.86266,7.16024,7.28712,0,0
XTB_PE,D,20170728,000000,7.28712,7.35126,7.03186,7.28712,0,0
XTB_PE,D,20170731,000000,7.54317,7.92654,7.16024,7.16024,0,0
XTB_PE,D,20170801,000000,7.4155,7.4155,7.16024,7.22438,0,0
XTB_PE,D,20170802,000000,7.22438,7.28712,7.16024,7.16024,0,0
XTB_PE,D,20170803,000000,7.16024,7.16024,7.16024,7.16024,0,0
XTB_PE,D,20170804,000000,7.16024,7.16024,7.03186,7.0968,0,0
XTB_PE,D,20170807,000000,6.96789,7.28712,6.96789,7.16024,0,0
XTB_PE,D,20170808,000000,7.16024,7.28712,7.16024,7.28712,0,0
XTB_PE,D,20170809,000000,7.28712,7.28712,7.0968,7.28712,0,0
XTB_PE,D,20170810,000000,7.0968,7.28712,7.03186,7.22438,0,0
XTB_PE,D,20170811,000000,7.22438,7.4155,7.03186,7.16024,0,0
XTB_PE,D,20170814,000000,7.16024,7.4155,6.96789,7.22438,0,0
XTB_PE,D,20170816,000000,7.28712,7.28712,7.03186,7.28712,0,0
XTB_PE,D,20170817,000000,7.28712,7.54317,7.22438,7.47894,0,0
XTB_PE,D,20170818,000000,7.47894,7.47894,7.47894,7.47894,0,0
XTB_PE,D,20170821,000000,7.22438,7.47894,7.22438,7.4155,0,0
XTB_PE,D,20170822,000000,7.28712,7.47894,7.22438,7.35126,0,0
XTB_PE,D,20170823,000000,7.28712,7.35126,7.22438,7.35126,0,0
